slug,latin_name,common_name,category,family,genus,observations_count
pyrus-communis,Pyrus communis,Wild Pear,plant,Rosaceae,Pyrus,1
quercus-ilex,Quercus ilex,Evergreen Oak,plant,Fagaceae,Quercus,1
rabdophaga-rosaria,Rabdophaga rosaria,Willow Rose Gall Midge,insect,Cecidomyiidae,Rabdophaga,1
rallus-aquaticus,Rallus aquaticus,Water Rail,bird,Rallidae,Rallus,1
ramalina-farinacea,Ramalina farinacea,Dotted bush lichen,lichen,Ramalinaceae,Ramalina,1
ranunculus-lanuginosus,Ranunculus lanuginosus,Woolly Buttercup,plant,Ranunculaceae,Ranunculus,1
raphanus-spec,Raphanus spec.,Radish unknown,plant,Brassicaceae,Raphanus,1
reseda-luteola,Reseda luteola,Weld,plant,Resedaceae,Reseda,1
rhadinoceraea-micans,Rhadinoceraea micans,Iris Sawfly,insect,Tenthredinidae,Rhadinoceraea,1
rhagoletis-alternata,Rhagoletis alternata,Rose Hip Fly,insect,Tephritidae,Rhagoletis,1
rhantus-suturalis,Rhantus suturalis,Cosmopolitan Diving Beetle,insect,Dytiscidae,Rhantus,1
rhaphium-spec,Rhaphium spec.,long-legged fly,other,,,1
rhembobius-perscrutator,Rhembobius perscrutator,ichneumon wasp,insect,Ichneumonidae,Rhembobius,1
rhogogaster-viridis-s-l,Rhogogaster viridis s.l.,green sawfly,insect,Tenthredinidae,Rhogogaster,1
rhopalus-subrufus,Rhopalus subrufus,hypericum rhopalid,insect,Rhopalidae,Rhopalus,1
rissoa-membranacea,Rissoa membranacea,Larger Spire-shell,mollusc,Rissoidae,Rissoa,1
rosa-arvensis,Rosa arvensis,Field-rose,plant,Rosaceae,Rosa,1
rosa-rugosa,Rosa rugosa,Japanese Rose,plant,Rosaceae,Rosa,1
rosa-spec,Rosa spec.,Rose sp. unknown,plant,Rosaceae,Rosa,1
rosmarinus-officinalis,Rosmarinus officinalis,Rosemary,plant,Lamiaceae,Salvia,1
rubus-odoratus,Rubus odoratus,Purple flowering Raspberry,plant,Rosaceae,Rubus,1
rumex-acetosa,Rumex acetosa,Common Sorrel,plant,Polygonaceae,Rumex,1
salix-cinerea,Salix cinerea,Grey Willow s.l.,plant,Salicaceae,Salix,1
salvia-argentea,Salvia argentea,Silver sage,plant,Lamiaceae,Salvia,1
salvia-viridis,Salvia viridis,Annual Clary,plant,Lamiaceae,Salvia,1
