slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
nemotelus-pantherinus,Nemotelus pantherinus,546367,https://static.inaturalist.org/photos/14957476/medium.jpg,,,"(c) Henk Wallays, all rights reserved",ok,
neoascia-spec,Neoascia spec.,486780,https://inaturalist-open-data.s3.amazonaws.com/photos/19500763/medium.jpg,cc-by-nc-sa,"(c) Mardon Erbland, some rights reserved (CC BY-NC-SA), uploaded by Mardon Erbland",ok,genus-level
nephrotoma-cornicina,Nephrotoma cornicina,1608326,https://inaturalist-open-data.s3.amazonaws.com/photos/534126109/medium.jpg,cc-by-nc,"(c) andywild, some rights reserved (CC BY-NC)",ok,
neurotoma-saltuum,Neurotoma saltuum,734712,https://inaturalist-open-data.s3.amazonaws.com/photos/106904172/medium.jpeg,cc-by-nc,"(c) Marie Lou Legrand, some rights reserved (CC BY-NC), uploaded by Marie Lou Legrand",ok,
nigella-damascena,Nigella damascena,62313,https://static.inaturalist.org/photos/199310420/medium.jpg,,,"(c) Ayşenur Okur, all rights reserved, uploaded by Ayşenur Okur",ok,
nomada-flavoguttata,Nomada flavoguttata,127811,https://inaturalist-open-data.s3.amazonaws.com/photos/11894101/medium.jpg,cc-by-nc,"(c) Philip Mark Osso, some rights reserved (CC BY-NC), uploaded by Philip Mark Osso",ok,
ochlodes-sylvanus,Ochlodes sylvanus,61781,https://inaturalist-open-data.s3.amazonaws.com/photos/244499836/medium.jpg,cc-by,"(c) SteveM4560, some rights reserved (CC BY), uploaded by SteveM4560",ok,
oegoconia-deauratella,Oegoconia deauratella,324767,https://inaturalist-open-data.s3.amazonaws.com/photos/393570320/medium.jpeg,cc-by-nc,"(c) brunoparisotto, some rights reserved (CC BY-NC)",ok,
ononis-spinosa,Ononis spinosa,82730,https://inaturalist-open-data.s3.amazonaws.com/photos/1150095/medium.jpg,cc-by,"(c) Nuuuuuuuuuuul, some rights reserved (CC BY)",ok,
orgyia-antiqua,Orgyia antiqua,61910,https://inaturalist-open-data.s3.amazonaws.com/photos/170075974/medium.jpg,cc-by-nc,"(c) Andrey Ponomarev, some rights reserved (CC BY-NC), uploaded by Andrey Ponomarev",ok,
oxybelus-bipunctatus,Oxybelus bipunctatus,1004303,https://inaturalist-open-data.s3.amazonaws.com/photos/143963827/medium.jpeg,cc-by-nc,"(c) Riley-Brendan Walsh, some rights reserved (CC BY-NC), uploaded by Riley-Brendan Walsh",ok,
palloptera-ustulata,Palloptera ustulata,1325538,https://inaturalist-open-data.s3.amazonaws.com/photos/29791916/medium.jpg,cc-by-nc,"(c) Arnold Wijker, some rights reserved (CC BY-NC), uploaded by Arnold Wijker",ok,
panaeolina-foenisecii,Panaeolina foenisecii,902551,https://inaturalist-open-data.s3.amazonaws.com/photos/21375273/medium.jpeg,cc-by,"(c) Alan Rockefeller, some rights reserved (CC BY), uploaded by Alan Rockefeller",ok,
panorpa-communis,Panorpa communis,51699,https://static.inaturalist.org/photos/56873902/medium.jpg,,,"(c) gernotkunz, all rights reserved, uploaded by gernotkunz",ok,
paranthrene-tabaniformis,Paranthrene tabaniformis,227054,https://inaturalist-open-data.s3.amazonaws.com/photos/34175787/medium.jpg,cc-by-nc,"(c) John Christensen, some rights reserved (CC BY-NC), uploaded by John Christensen",ok,
"parasola-plicatilis-sl-incl-galericuliformis-hercules-kuehneri-leiocephala-megasperma-schroeteri","Parasola plicatilis sl, incl. galericuliformis, hercules, kuehneri, leiocephala, megasperma, schroeteri",63583,https://inaturalist-open-data.s3.amazonaws.com/photos/453730594/medium.jpg,cc-by-nd,"(c) Joan Knapp, some rights reserved (CC BY-ND), uploaded by Joan Knapp",ok,species complex
parasteatoda-tepidariorum,Parasteatoda tepidariorum,120583,https://inaturalist-open-data.s3.amazonaws.com/photos/271263775/medium.jpeg,cc-by-nc,"(c) Nikola Szucsich, some rights reserved (CC BY-NC), uploaded by Nikola Szucsich",ok,
parietaria-officinalis,Parietaria officinalis,84889,https://inaturalist-open-data.s3.amazonaws.com/photos/139509653/medium.jpg,cc-by-nc,"(c) zebra1193, some rights reserved (CC BY-NC), uploaded by zebra1193",ok,
pemphredon-spec,Pemphredon spec.,363934,https://inaturalist-open-data.s3.amazonaws.com/photos/2669163/medium.jpg,cc-by,"(c) Katja Schulz, some rights reserved (CC BY)",ok,genus-level
periplaneta-australasiae,Periplaneta australasiae,1649046,https://inaturalist-open-data.s3.amazonaws.com/photos/2792456/medium.JPG,cc-by-sa,"(c) Juan Cruzado Cortés, some rights reserved (CC BY-SA), uploaded by Juan Cruzado Cortés",ok,
phalaris-arundinacea,Phalaris arundinacea,63337,https://inaturalist-open-data.s3.amazonaws.com/photos/78038371/medium.jpg,cc-by-nc,"(c) annk, some rights reserved (CC BY-NC)",ok,
phaonia-spec,Phaonia spec.,243560,https://static.inaturalist.org/photos/12863712/medium.jpg,,,"(c) Rui Andrade, all rights reserved",ok,genus-level
phedimus-hybridus,Phedimus hybridus,739791,https://inaturalist-open-data.s3.amazonaws.com/photos/32198585/medium.jpeg,cc-by-nc,"(c) Lola Smirnova, some rights reserved (CC BY-NC), uploaded by Lola Smirnova",ok,
phedimus-kamtschaticus,Phedimus kamtschaticus,1181693,https://static.inaturalist.org/photos/42512623/medium.jpg,,,"(c) Harald Sowada, all rights reserved, uploaded by Harald Sowada",ok,
philadelphus-spec,Philadelphus spec.,52470,https://inaturalist-open-data.s3.amazonaws.com/photos/83023833/medium.jpeg,cc-by-nc,"(c) Joey Santore, some rights reserved (CC BY-NC), uploaded by Joey Santore",ok,genus-level
