slug,latin_name,common_name,category,family,genus,observations_count
meligramma-triangulifera,Meligramma triangulifera,Triangle-spotted Roundtail,insect,Syrphidae,Meligramma,1
melilotus-officinalis,Melilotus officinalis,Ribbed Melilot,plant,Fabaceae,Melilotus,1
melissa-officinalis,Melissa officinalis,Balm,plant,Lamiaceae,Melissa,1
melolontha-melolontha,Melolontha melolontha,Cockchafer,insect,Scarabaeidae,Melolontha,1
mentha-x-rotundifolia-m-longifolia-x-m-suaveolens,Mentha x rotundifolia (M. longifolia x M. suaveolens),round-leaved mint,plant,Lamiaceae,Mentha,1
meromyza-spec,Meromyza spec.,grass flies,insect,Chloropidae,Meromyza,1
mespilus-germanica,Mespilus germanica,Medlar,plant,Rosaceae,Mespilus,1
metalampra-italica,Metalampra italica,Italian Bark Moth,insect,Oecophoridae,Borkhausenia,1
metasequoia-glyptostroboides,Metasequoia glyptostroboides,Dawn redwood,plant,Cupressaceae,Metasequoia,1
microchrysa-polita,Microchrysa polita,Black-horned Gem,insect,Stratiomyidae,Microchrysa,1
microgastrinae-indet,Microgastrinae indet.,microgastrine braconid wasps,other,,,1
micropeza-corrigiolata,Micropeza corrigiolata,stilt-legged fly,insect,Micropezidae,Micropeza,1
mikiola-fagi,Mikiola fagi,Beech Gall Midge,insect,Cecidomyiidae,Mikiola,1
mintho-rufiventris,Mintho rufiventris,red-bellied tachinid fly,insect,Tachinidae,Mintho,1
miscanthus-spec,Miscanthus spec.,Silvergrass unknown,plant,Poaceae,Miscanthus,1
misopates-orontium,Misopates orontium,Lesser Snapdragon,plant,Plantaginaceae,Misopates,1
mnemiopsis-leidyi,Mnemiopsis leidyi,Warty comb jelly,other,Bolinopsidae,Mnemiopsis,1
mordellistena-spec,Mordellistena spec.,tumbling flower beetles,insect,Mordellidae,Mordellistena,1
morus-alba,Morus alba,White Mulberry,plant,Moraceae,Morus,1
musca-autumnalis,Musca autumnalis,Face Fly,insect,Muscidae,Musca,1
muscicapa-striata,Muscicapa striata,Spotted Flycatcher,bird,Muscicapidae,Muscicapa,1
mustelidae-indet,Mustelidae indet.,Mustelid unknown,mammal,Mustelidae,,1
myiopsitta-monachus,Myiopsitta monachus,Monk Parakeet,bird,Psittacidae,Myiopsitta,1
myocastor-coypus,Myocastor coypus,Coypu,mammal,Myocastoridae,Myocastor,1
myosotis-sylvatica,Myosotis sylvatica,Wood Forget-me-not,plant,Boraginaceae,Myosotis,1
