slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
geranium-dissectum,Geranium dissectum,53075,https://static.inaturalist.org/photos/39432181/medium.jpg,,,"(c) Tig, all rights reserved",ok,
geranium-endressii,Geranium endressii,450391,https://inaturalist-open-data.s3.amazonaws.com/photos/413837428/medium.jpeg,cc-by-nc,"(c) jule64, some rights reserved (CC BY-NC)",ok,
geranium-palustre,Geranium palustre,57644,https://inaturalist-open-data.s3.amazonaws.com/photos/80487918/medium.jpeg,cc-by-nc,"(c) Larina Arina, some rights reserved (CC BY-NC)",ok,
geranium-phaeum,Geranium phaeum,55756,https://inaturalist-open-data.s3.amazonaws.com/photos/108913331/medium.jpeg,cc-by-nc,"(c) Alexander Baransky, some rights reserved (CC BY-NC)",ok,
geranium-psilostemon,Geranium psilostemon,450393,https://inaturalist-open-data.s3.amazonaws.com/photos/53098943/medium.jpg,cc-by-nc-sa,"(c) Carol, some rights reserved (CC BY-NC-SA)",ok,
geranium-pusillum,Geranium pusillum,60204,https://inaturalist-open-data.s3.amazonaws.com/photos/78496116/medium.jpg,cc-by-nc,"(c) josefwirth, some rights reserved (CC BY-NC)",ok,
geranium-spec,Geranium spec.,47701,https://inaturalist-open-data.s3.amazonaws.com/photos/402530865/medium.jpg,cc-by-nc,"(c) Theodore, some rights reserved (CC BY-NC)",ok,genus-level photo
gerridae-indet,Gerridae indet.,59653,https://inaturalist-open-data.s3.amazonaws.com/photos/1427421/medium.JPG,cc-by-nc,"(c) Chris Nash, some rights reserved (CC BY-NC)",ok,family-level photo
gillmeria-ochrodactyla,Gillmeria ochrodactyla,311373,https://inaturalist-open-data.s3.amazonaws.com/photos/421970/medium.jpg,cc-by,"(c) Donald Hobern, some rights reserved (CC BY)",ok,
gleditsia-triacanthos,Gleditsia triacanthos,54797,https://inaturalist-open-data.s3.amazonaws.com/photos/193347238/medium.jpeg,cc-by-nc,"(c) Dwight Bohlmeyer, some rights reserved (CC BY-NC)",ok,
gonioctena-viminalis,Gonioctena viminalis,547295,https://inaturalist-open-data.s3.amazonaws.com/photos/25747201/medium.jpg,cc-by-nc,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC)",ok,
gorytes-laticinctus,Gorytes laticinctus,470608,https://inaturalist-open-data.s3.amazonaws.com/photos/189873784/medium.jpeg,cc-by-nc,"(c) Marie Lou Legrand, some rights reserved (CC BY-NC)",ok,
gracillaria-syringella,Gracillaria syringella,320060,https://inaturalist-open-data.s3.amazonaws.com/photos/225197415/medium.jpeg,cc-by-nc,"(c) cossus, some rights reserved (CC BY-NC)",ok,
grapholita-lobarzewskii,Grapholita lobarzewskii,1507299,https://static.inaturalist.org/photos/21112120/medium.jpg,,"(c) Tig, all rights reserved",ok,
gymnosporangium-clavariiforme,Gymnosporangium clavariiforme,407921,https://inaturalist-open-data.s3.amazonaws.com/photos/73352912/medium.jpeg,cc-by-nc,"(c) ptolvane, some rights reserved (CC BY-NC)",ok,
gypsonoma-sociana,Gypsonoma sociana,512735,https://inaturalist-open-data.s3.amazonaws.com/photos/236329454/medium.jpeg,cc-by-nc,"(c) cossus, some rights reserved (CC BY-NC)",ok,
halictus-tumulorum,Halictus tumulorum,127748,https://static.inaturalist.org/photos/16546021/medium.jpg,,"(c) Henk Wallays, all rights reserved",ok,
harpalus-rubripes,Harpalus rubripes,131098,https://inaturalist-open-data.s3.amazonaws.com/photos/268757158/medium.jpg,cc-by-nc,"(c) Mick Massie, some rights reserved (CC BY-NC)",ok,
hebecnema-spec,Hebecnema spec.,355517,https://inaturalist-open-data.s3.amazonaws.com/photos/125400665/medium.jpeg,cc-by-nc,"(c) Marie Lou Legrand, some rights reserved (CC BY-NC)",ok,genus-level photo
hedobia-imperialis,Hedobia imperialis,510189,https://inaturalist-open-data.s3.amazonaws.com/photos/106321091/medium.jpeg,cc-by-nc,"(c) Felix Riegel, some rights reserved (CC BY-NC)",ok,
hedychrum-gerstaeckeri,Hedychrum gerstaeckeri,479660,https://inaturalist-open-data.s3.amazonaws.com/photos/288994276/medium.jpg,cc-by-nc,"(c) Sylvester Kociniak, some rights reserved (CC BY-NC)",ok,
heleomyzidae-indet,Heleomyzidae indet.,154606,https://inaturalist-open-data.s3.amazonaws.com/photos/25001484/medium.jpg,cc-by,"(c) Katja Schulz, some rights reserved (CC BY)",ok,family-level photo
helicoverpa-armigera,Helicoverpa armigera,83806,https://inaturalist-open-data.s3.amazonaws.com/photos/12166109/medium.jpg,cc-by-nc,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC)",ok,
helina-spec,Helina spec.,326618,https://inaturalist-open-data.s3.amazonaws.com/photos/99776127/medium.jpg,cc-by-nc,"(c) Pentti Ketola, some rights reserved (CC BY-NC)",ok,genus-level photo
