slug,latin_name,common_name,category,family,genus,observations_count
craniophora-ligustri,Craniophora ligustri,The Coronet,insect,Noctuidae,Craniophora,2
crocidura-russula,Crocidura russula,White-toothed Shrew,mammal,Soricidae,Crocidura,2
ctenophora-pectinicornis,Ctenophora pectinicornis,orange-sided comb-horn,insect,Tipulidae,Ctenophora,2
culex-pipiens-torrentium,Culex pipiens / torrentium,House Mosquito Complex,insect,Culicidae,Culex,2
curruca-curruca,Curruca curruca,Lesser Whitethroat,bird,Sylviidae,Sylvia,2
cynosurus-echinatus,Cynosurus echinatus,Bristly dogstail grass,plant,Poaceae,Cynosurus,2
dasineura-urticae,Dasineura urticae,Nettle Pouch Gall Midge,insect,Cecidomyiidae,Dasineura,2
deltote-pygarga,Deltote pygarga,Marbled White Spot,insect,Noctuidae,Deltote,2
dianthus-spec-cultivar,Dianthus spec. (cultivar),carnation cultivar,plant,Caryophyllaceae,Dianthus,2
dicranopalpus-ramosus,Dicranopalpus ramosus,Fork-palped Harvestman Complex,arachnid,Phalangiidae,Dicranopalpus,2
dicyphus-errans,Dicyphus errans,Dicyphus plant bug,insect,Miridae,Dicyphus,2
dolerus-spec,Dolerus spec.,Dolerus sawflies,insect,Tenthredinidae,Dolerus,2
dolichopus-claviger,Dolichopus claviger,a long-legged fly,insect,Dolichopodidae,Dolichopus,2
donacaula-forficella,Donacaula forficella,Pale Water-veneer,insect,Crambidae,Donacaula,2
dysstroma-truncata,Dysstroma truncata,Common Marbled Carpet,insect,Geometridae,Dysstroma,2
echium-plantagineum,Echium plantagineum,Purple Viper's bugloss,plant,Boraginaceae,Echium,2
ectemnius-cavifrons,Ectemnius cavifrons,Garden Ectemnius,insect,Crabronidae,Ectemnius,2
ectopsocus-petersi,Ectopsocus petersi,Peters' barklouse,insect,Ectopsocidae,Ectopsocus,2
edwardsiana-geometrica,Edwardsiana geometrica,a leafhopper,insect,Cicadellidae,Edwardsiana,2
elachista-canapennella,Elachista canapennella,little dwarf,insect,Elachistidae,Elachista,2
elasmucha-grisea,Elasmucha grisea,Parent Bug,insect,Acanthosomatidae,Elasmucha,2
empis-livida,Empis livida,a dance fly,insect,Empididae,Empis,2
endrosis-sarcitrella,Endrosis sarcitrella,White-shouldered house moth,insect,Oecophoridae,Endrosis,2
enicospilus-ramidulus,Enicospilus ramidulus,an ichneumon wasp,insect,Ichneumonidae,Enicospilus,2
epilobium-parviflorum,Epilobium parviflorum,Small-flowered Willowherb,plant,Onagraceae,Epilobium,2
