slug,latin_name,common_name,category,family,genus,observations_count
leccinum-scabrum-sl-incl-cyaneobasileucum-melaneum-schistophilum-variicolor,"Leccinum scabrum sl, incl. cyaneobasileucum, melaneum, schistophilum, variicolor",rough-stemmed bolete complex,fungus,Boletaceae,Leccinum,2
lepidium-densiflorum,Lepidium densiflorum,Densely flowered Pepperwort,plant,Brassicaceae,Lepidium,2
lepidium-virginicum,Lepidium virginicum,Least Pepperwort,plant,Brassicaceae,Lepidium,2
leucoma-salicis,Leucoma salicis,White Satin Moth,insect,Erebidae,Leucoma,2
linaria-cannabina,Linaria cannabina,Common Linnet,bird,Fringillidae,Linaria,2
linaria-purpurea,Linaria purpurea,Purple Toadflax,plant,Plantaginaceae,Linaria,2
lindneromyia-dorsalis,Lindneromyia dorsalis,flat-footed fly,insect,Platypezidae,Lindneromyia,2
liophloeus-tessulatus,Liophloeus tessulatus,chequered weevil,insect,Curculionidae,Liophloeus,2
lithobius-spec,Lithobius spec.,Typical Stone Centipedes,insect,Lithobiidae,Lithobius,2
lonchaeidae-indet,Lonchaeidae indet.,Unidentified Lance Fly,insect,Lonchaeidae,,2
lozotaeniodes-formosana,Lozotaeniodes formosana,Orange Pine Tortrix,insect,Tortricidae,Lozotaeniodes,2
lygocoris-pabulinus,Lygocoris pabulinus,Common Green Capsid,insect,Miridae,Lygocoris,2
macrocentrus-spec,Macrocentrus spec.,braconid wasp,insect,Braconidae,Macrocentrus,2
macrophya-montana,Macrophya montana,Yellow-spotted Macrophya,insect,Tenthredinidae,Macrophya,2
malus-x-domestica,Malus x domestica,apple,plant,Rosaceae,Malus,2
mammalia-indet,Mammalia indet.,Mammal unknown,mammal,,,2
megalocoleus-molliculus,Megalocoleus molliculus,plant bug,insect,Miridae,Megalocoleus,2
microlinyphia-pusilla,Microlinyphia pusilla,dwarf sheet-web spider,arachnid,Linyphiidae,Microlinyphia,2
micromus-variegatus,Micromus variegatus,Variegated Brown Lacewing,insect,Hemerobiidae,Micromus,2
mirabilis-jalapa,Mirabilis jalapa,Marvel-of-Peru,plant,Nyctaginaceae,Mirabilis,2
monopis-crocicapitella,Monopis crocicapitella,Pale-backed Detritus Moth,insect,Tineidae,Monopis,2
myosotis-laxa,Myosotis laxa,Tufted Forget me not,plant,Boraginaceae,Myosotis,2
mystacides-nigra,Mystacides nigra,black longhorn caddisfly,insect,Leptoceridae,Mystacides,2
mythimna-albipuncta,Mythimna albipuncta,White-point,insect,Noctuidae,Mythimna,2
nacerdes-melanura,Nacerdes melanura,Wharf Borer,insect,Oedemeridae,Nacerdes,2
