slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
leccinum-scabrum-sl-incl-cyaneobasileucum-melaneum-schistophilum-variicolor,"Leccinum scabrum sl, incl. cyaneobasileucum, melaneum, schistophilum, variicolor",63232,https://inaturalist-open-data.s3.amazonaws.com/photos/107147543/medium.jpg,cc-by-nc,"(c) Federico Calledda, some rights reserved (CC BY-NC)",ok,
lepidium-densiflorum,Lepidium densiflorum,77666,https://inaturalist-open-data.s3.amazonaws.com/photos/18320335/medium.jpg,cc-by,"(c) aarongunnar, some rights reserved (CC BY)",ok,
lepidium-virginicum,Lepidium virginicum,77676,https://inaturalist-open-data.s3.amazonaws.com/photos/261618000/medium.jpeg,cc0,"no rights reserved, uploaded by 葉子",ok,
leucoma-salicis,Leucoma salicis,209787,https://inaturalist-open-data.s3.amazonaws.com/photos/29581003/medium.jpg,cc-by-nc,"(c) Paolo Mazzei, some rights reserved (CC BY-NC)",ok,
linaria-cannabina,Linaria cannabina,558634,https://inaturalist-open-data.s3.amazonaws.com/photos/447125732/medium.jpg,cc-by-nc,"(c) Samuel Beyertt, some rights reserved (CC BY-NC)",ok,
linaria-purpurea,Linaria purpurea,77778,https://inaturalist-open-data.s3.amazonaws.com/photos/77075421/medium.jpg,cc-by-nc,"(c) punkiflora, some rights reserved (CC BY-NC)",ok,alternate from obs 48570464
lindneromyia-dorsalis,Lindneromyia dorsalis,466268,https://inaturalist-open-data.s3.amazonaws.com/photos/2625891/medium.jpg,cc-by-nc-sa,"(c) Valter Jacinto, some rights reserved (CC BY-NC-SA)",ok,
liophloeus-tessulatus,Liophloeus tessulatus,311242,https://inaturalist-open-data.s3.amazonaws.com/photos/869314/medium.jpg,cc-by,"(c) Donald Hobern, some rights reserved (CC BY)",ok,
lithobius-spec,Lithobius spec.,122237,https://inaturalist-open-data.s3.amazonaws.com/photos/115505747/medium.jpeg,cc-by,"(c) Alexis Tinker-Tsavalas, some rights reserved (CC BY)",ok,genus-level
lonchaeidae-indet,Lonchaeidae indet.,322936,https://inaturalist-open-data.s3.amazonaws.com/photos/9002395/medium.jpg,cc-by,"(c) Katja Schulz, some rights reserved (CC BY)",ok,family-level
lozotaeniodes-formosana,Lozotaeniodes formosana,475669,https://inaturalist-open-data.s3.amazonaws.com/photos/4960710/medium.jpg,cc-by-nc,"(c) Vlad Proklov, some rights reserved (CC BY-NC)",ok,
lygocoris-pabulinus,Lygocoris pabulinus,325541,https://inaturalist-open-data.s3.amazonaws.com/photos/158673295/medium.jpg,cc-by,"(c) Patrick Meurin, some rights reserved (CC BY)",ok,alternate from obs 95568585
macrocentrus-spec,Macrocentrus spec.,177208,https://inaturalist-open-data.s3.amazonaws.com/photos/249461110/medium.jpeg,cc-by-nc,"(c) jonas_sommer, some rights reserved (CC BY-NC)",ok,genus-level
macrophya-montana,Macrophya montana,320947,https://inaturalist-open-data.s3.amazonaws.com/photos/125251730/medium.jpg,cc-by-nc,"(c) Bernard Noguès, some rights reserved (CC BY-NC)",ok,
malus-x-domestica,Malus x domestica,469472,https://inaturalist-open-data.s3.amazonaws.com/photos/268437/medium.jpg,cc-by-nc-nd,"(c) Vilma Bharatan, some rights reserved (CC BY-NC-ND)",ok,
mammalia-indet,Mammalia indet.,40151,https://inaturalist-open-data.s3.amazonaws.com/photos/80551250/medium.jpg,cc0,"no rights reserved, uploaded by Abhas Misraraj",ok,class-level collage
megalocoleus-molliculus,Megalocoleus molliculus,554771,https://inaturalist-open-data.s3.amazonaws.com/photos/58753035/medium.jpeg,cc-by-nc,"(c) Harm Alberts, some rights reserved (CC BY-NC)",ok,
microlinyphia-pusilla,Microlinyphia pusilla,225135,https://inaturalist-open-data.s3.amazonaws.com/photos/184553868/medium.jpeg,cc-by-nc,"(c) jenz15, some rights reserved (CC BY-NC)",ok,alternate from obs 109494675
micromus-variegatus,Micromus variegatus,364111,https://inaturalist-open-data.s3.amazonaws.com/photos/409681088/medium.jpeg,cc-by,"(c) Cosimo Costanzia di Costigliole, some rights reserved (CC BY)",ok,alternate from obs 230711439
mirabilis-jalapa,Mirabilis jalapa,50616,https://inaturalist-open-data.s3.amazonaws.com/photos/226608079/medium.jpg,cc-by-nc,"(c) miguel-de-escamps, some rights reserved (CC BY-NC)",ok,
monopis-crocicapitella,Monopis crocicapitella,225223,https://inaturalist-open-data.s3.amazonaws.com/photos/157600920/medium.jpeg,cc-by-nc,"(c) Amico Cosimo / Gond, some rights reserved (CC BY-NC)",ok,alternate from obs 94968670
myosotis-laxa,Myosotis laxa,78150,https://inaturalist-open-data.s3.amazonaws.com/photos/138207566/medium.jpeg,cc-by-sa,"(c) Douglas Goldman, some rights reserved (CC BY-SA)",ok,alternate from obs 84109843
mystacides-nigra,Mystacides nigra,355798,https://inaturalist-open-data.s3.amazonaws.com/photos/10964663/medium.jpg,cc-by,"(c) Drepanostoma, some rights reserved (CC BY)",ok,iNat matched to azureus
mythimna-albipuncta,Mythimna albipuncta,320878,https://inaturalist-open-data.s3.amazonaws.com/photos/314256273/medium.jpg,cc-by,"(c) SteveM4560, some rights reserved (CC BY)",ok,alternate from obs 180410906
nacerdes-melanura,Nacerdes melanura,225433,https://inaturalist-open-data.s3.amazonaws.com/photos/455330056/medium.jpg,cc-by-nc,"(c) Arno Van Der Vyver, some rights reserved (CC BY-NC)",ok,alternate from obs 254233823
