slug,latin_name,common_name,category,family,genus,observations_count
braconidae-indet,Braconidae indet.,Braconid unknown,insect,Braconidae,,3
calliphora-vicina,Calliphora vicina,Common Blow Fly,insect,Calliphoridae,Calliphora,3
caloptilia-semifascia,Caloptilia semifascia,Maple Slender,insect,Gracillariidae,Caloptilia,3
calvia-quatuordecimguttata,Calvia quatuordecimguttata,Cream-spot Ladybird,insect,Coccinellidae,Calvia,3
campanula-persicifolia,Campanula persicifolia,Peach-leaved Bellflower,plant,Campanulaceae,Campanula,3
campanula-portenschlagiana,Campanula portenschlagiana,Adria Bellflower,plant,Campanulaceae,Campanula,3
cataclysta-lemnata,Cataclysta lemnata,Small China-mark,insect,Crambidae,Cataclysta,3
chaerophyllum-bulbosum,Chaerophyllum bulbosum,Bulbous Chervil,plant,Apiaceae,Chaerophyllum,3
chamaenerion-angustifolium,Chamaenerion angustifolium,Rosebay Willowherb,plant,Onagraceae,Chamaenerion,3
chilo-phragmitella,Chilo phragmitella,Wainscot Veneer,insect,Crambidae,Chilo,3
chrysis-ignita-gr,Chrysis ignita-gr.,Chrysis ignita-group,other,,,3
chrysoperla-carnea-s-l,Chrysoperla carnea s.l.,Common green lacewing,insect,Chrysopidae,Chrysoperla,3
coturnix-coturnix,Coturnix coturnix,Common Quail,bird,Phasianidae,Coturnix,3
crabro-peltarius,Crabro peltarius,Square-headed wasp,insect,Crabronidae,Crabro,3
ctenophora-festiva,Ctenophora festiva,Ornate crane fly,insect,Tipulidae,Ctenophora,3
culicidae-indet,Culicidae indet.,Unidentified mosquito,insect,Culicidae,,3
cynoglossum-officinale,Cynoglossum officinale,Hound's-tongue,plant,Boraginaceae,Cynoglossum,3
daucus-carota-subsp-carota,Daucus carota subsp. carota,Wild Carrot,plant,Apiaceae,Daucus,3
dichrorampha-petiverella,Dichrorampha petiverella,Common Drill,insect,Tortricidae,Dichrorampha,3
dolichopus-spec,Dolichopus spec.,Long-legged flies,other,,,3
drepana-falcataria,Drepana falcataria,Pebble Hook-tip,insect,Drepanidae,Drepana,3
dryas-iulia,Dryas iulia,Julia Heliconian,insect,Nymphalidae,Dryas,3
ecnomus-tenellus,Ecnomus tenellus,Caddisfly,insect,Ecnomidae,Ecnomus,3
eilema-depressa,Eilema depressa,Buff Footman,insect,Erebidae,Katha,3
elateridae-indet,Elateridae indet.,Click Beetles,insect,Elateridae,,3
