slug,latin_name,common_name,category,family,genus,observations_count
persicaria-amplexicaulis,Persicaria amplexicaulis,Red Bistort,plant,Polygonaceae,Bistorta,3
phacelia-tanacetifolia,Phacelia tanacetifolia,Phacelia,plant,Hydrophyllaceae,Phacelia,3
phlogophora-meticulosa,Phlogophora meticulosa,Angle Shades,insect,Noctuidae,Phlogophora,3
phycitodes-binaevella,Phycitodes binaevella,Ermine Knot-horn,insect,Pyralidae,Phycitodes,3
piezodorus-lituratus,Piezodorus lituratus,Gorse Shieldbug,insect,Pentatomidae,Piezodorus,3
platycheirus-albimanus,Platycheirus albimanus,Grey-spotted Sedgesitter,insect,Syrphidae,Platycheirus,3
plemyria-rubiginata,Plemyria rubiginata,Blue-bordered Carpet,insect,Geometridae,Plemyria,3
populus-tremula,Populus tremula,Aspen,plant,Salicaceae,Populus,3
portulaca-oleracea,Portulaca oleracea,Common Purslane,plant,Portulacaceae,Portulaca,3
potentilla-reptans,Potentilla reptans,Creeping Cinquefoil,plant,Rosaceae,Potentilla,3
prays-fraxinella,Prays fraxinella,Ash Bud Moth,insect,Praydidae,Prays,3
pterophorus-pentadactyla,Pterophorus pentadactyla,White Plume Moth,insect,Pterophoridae,Pterophorus,3
ptychoptera-contaminata,Ptychoptera contaminata,orange-marked cranefly,insect,Ptychopteridae,Ptychoptera,3
pyrausta-aurata,Pyrausta aurata,Mint Moth,insect,Crambidae,Pyrausta,3
ribes-nigrum,Ribes nigrum,Black Currant,plant,Grossulariaceae,Ribes,3
rubus-sect-corylifolii-rubus-sect-rubus,Rubus sect. Corylifolii + Rubus sect. Rubus,Brambles,other,,,3
rumex-acetosella,Rumex acetosella,Sheep's Sorrel,plant,Polygonaceae,Rumex,3
sagina-procumbens,Sagina procumbens,Procumbent Pearlwort,plant,Caryophyllaceae,Sagina,3
salvia-pratensis,Salvia pratensis,Meadow Clary,plant,Lamiaceae,Salvia,3
scymnus-interruptus,Scymnus interruptus,Red-flanked Scymnus,insect,Coccinellidae,Scymnus,3
silene-chalcedonica,Silene chalcedonica,Maltese-Cross,plant,Caryophyllaceae,Silene,3
smerinthus-ocellatus,Smerinthus ocellatus,Eyed Hawk Moth,insect,Sphingidae,Smerinthus,3
solidago-gigantea,Solidago gigantea,Giant goldenrod,plant,Asteraceae,Solidago,3
sphinx-ligustri,Sphinx ligustri,Privet Hawk-moth,insect,Sphingidae,Sphinx,3
staphylinidae-indet,Staphylinidae indet.,Rove beetles,insect,Staphylinidae,,3
