slug,latin_name,common_name,category,family,genus,observations_count
pyrrhocoris-apterus,Pyrrhocoris apterus,Firebug,insect,Pyrrhocoridae,Pyrrhocoris,11
rhinophora-lepida,Rhinophora lepida,Pouting Woodlouse-fly,insect,Calliphoridae,Rhinophora,11
scymninae-indet,Scymninae indet.,Scymnus ladybirds,other,,,11
thereva-nobilitata,Thereva nobilitata,Common Stiletto,insect,Therevidae,Thereva,11
apterogenum-ypsillon,Apterogenum ypsillon,Dingy Shears,insect,Noctuidae,Apterogenum,10
bufo-bufo,Bufo bufo,Common Toad,amphibian,Bufonidae,Bufo,10
enoplognatha-ovata-latimana,Enoplognatha ovata/latimana,Candy-striped Spider complex,arachnid,Theridiidae,Enoplognatha,10
eristalis-horticola,Eristalis horticola,Stripe-winged Drone Fly,insect,Syrphidae,Cheilosia,10
malva-alcea-malva-moschata,Malva alcea + Malva moschata,Hollyhock mallow and musk mallow (mixed),other,,,10
medicago-lupulina,Medicago lupulina,Black Medick,plant,Fabaceae,Medicago,10
pisaura-mirabilis,Pisaura mirabilis,Nursery-web Spider,arachnid,Pisauridae,Pisaura,10
platyedra-subcinerea,Platyedra subcinerea,Cotton stem moth,insect,Gelechiidae,Platyedra,10
schoenobius-gigantella,Schoenobius gigantella,Giant Grass-veneer,insect,Crambidae,Schoenobius,10
sonchus-asper,Sonchus asper,Prickly Sow-thistle,plant,Asteraceae,Sonchus,10
tragopogon-pratensis,Tragopogon pratensis,Goat's-beard,plant,Asteraceae,Tragopogon,10
anas-platyrhynchos-f-domesticus,Anas platyrhynchos f. domesticus,Domestic Duck,bird,Anatidae,Anas,9
ancylis-achatana,Ancylis achatana,Triangle-marked Roller,insect,Tortricidae,Ancylis,9
anthidium-manicatum,Anthidium manicatum,Common Wool Carder Bee,insect,Megachilidae,Anthidium,9
anthomyia-procellaris,Anthomyia procellaris,Root-fly,insect,Anthomyiidae,Anthomyia,9
caltha-palustris,Caltha palustris,Marsh-marigold,plant,Ranunculaceae,Caltha,9
dasypoda-hirtipes,Dasypoda hirtipes,Pantaloon Bee,insect,Melittidae,Dasypoda,9
diplotaxis-tenuifolia,Diplotaxis tenuifolia,Perennial Wall-rocket,plant,Brassicaceae,Diplotaxis,9
epipactis-helleborine,Epipactis helleborine,Broad-leaved Helleborine,plant,Orchidaceae,Epipactis,9
hedya-salicella,Hedya salicella,White-backed Marble,insect,Tortricidae,Hedya,9
heterocera-indet,Heterocera indet.,Unidentified Moth,insect,Noctuidae,Heterocera,9
