slug,latin_name,common_name,category,family,genus,observations_count
geranium-dissectum,Geranium dissectum,Cut-leaved Crane's-bill,plant,Geraniaceae,Geranium,1
geranium-endressii,Geranium endressii,French Crane's-bill,plant,Geraniaceae,Geranium,1
geranium-palustre,Geranium palustre,Marsh Crane's-bill,plant,Geraniaceae,Geranium,1
geranium-phaeum,Geranium phaeum,Dusky Crane's-bill,plant,Geraniaceae,Geranium,1
geranium-psilostemon,Geranium psilostemon,Armenian Crane's bill,plant,Geraniaceae,Geranium,1
geranium-pusillum,Geranium pusillum,Small-flowered Crane's-bill,plant,Geraniaceae,Geranium,1
geranium-spec,Geranium spec.,Unidentified Geranium unknown,plant,Geraniaceae,Geranium,1
gerridae-indet,Gerridae indet.,Pond skater,insect,Gerridae,,1
gillmeria-ochrodactyla,Gillmeria ochrodactyla,Tansy Plume Moth,insect,Pterophoridae,Gillmeria,1
gleditsia-triacanthos,Gleditsia triacanthos,Three thorned acacia,plant,Fabaceae,Gleditsia,1
gonioctena-viminalis,Gonioctena viminalis,willow leaf beetle,insect,Chrysomelidae,Gonioctena,1
gorytes-laticinctus,Gorytes laticinctus,Broad-banded Hopper Wasp,insect,Crabronidae,Gorytes,1
gracillaria-syringella,Gracillaria syringella,Common slender,insect,Gracillariidae,Gracillaria,1
grapholita-lobarzewskii,Grapholita lobarzewskii,Kent Fruit Piercer,insect,Tortricidae,Grapholita,1
gymnosporangium-clavariiforme,Gymnosporangium clavariiforme,tongues of fire,fungus,Gymnosporangiaceae,Gymnosporangium,1
gypsonoma-sociana,Gypsonoma sociana,White Cloaked Shoot,insect,Tortricidae,Gypsonoma,1
halictus-tumulorum,Halictus tumulorum,Bronze Furrow Bee,insect,Halictidae,Halictus,1
harpalus-rubripes,Harpalus rubripes,ground beetle,insect,Carabidae,Harpalus,1
hebecnema-spec,Hebecnema spec.,muscid fly,insect,Muscidae,Hebecnema,1
hedobia-imperialis,Hedobia imperialis,imperial spider beetle,insect,Anobiidae,Ptinomorphus,1
hedychrum-gerstaeckeri,Hedychrum gerstaeckeri,ruby-tailed wasp,insect,Chrysididae,Hedychrum,1
heleomyzidae-indet,Heleomyzidae indet.,Heleomyzid Flies,insect,Heleomyzidae,,1
helicoverpa-armigera,Helicoverpa armigera,Cotton Bollworm,insect,Noctuidae,Helicoverpa,1
helina-spec,Helina spec.,muscid fly,insect,Muscidae,Helina,1
helleborus-argutifolius,Helleborus argutifolius,Corsican Hellebore,plant,Ranunculaceae,Helleborus,1
