slug,latin_name,common_name,category,family,genus,observations_count
hypericum-hirsutum,Hypericum hirsutum,Hairy St John's-wort,plant,Hypericaceae,Hypericum,1
hypericum-tetrapterum,Hypericum tetrapterum,Square-stalked St John's-wort,plant,Hypericaceae,Hypericum,1
hypericum-x-hidcoteense-h-addingtonii-x-h-calycinum-x-h-hookerianum,Hypericum x hidcoteense (H. addingtonii x H. calycinum x H. hookerianum),Hidcote Tutsan,plant,Hypericaceae,Hypericum,1
hypomecis-roboraria,Hypomecis roboraria,Great Oak Beauty,insect,Geometridae,Hypomecis,1
iberis-umbellata,Iberis umbellata,Garden Candytuft,plant,Brassicaceae,Iberis,1
ichneumoninae-indet,Ichneumoninae indet.,ichneumon wasp,other,,,1
ichthyaetus-melanocephalus,Ichthyaetus melanocephalus,Mediterranean Gull,bird,Laridae,Ichthyaetus,1
idaea-straminata,Idaea straminata,Plain Wave,insect,Geometridae,Idaea,1
ilisia-maculata,Ilisia maculata,limoniid crane fly,insect,Limoniidae,Ilisia,1
inula-helenium,Inula helenium,Elecampane,plant,Asteraceae,Inula,1
inula-helenium-inula-racemosa,Inula helenium + Inula racemosa,elecampane,other,,,1
jacobaea-spec,Jacobaea spec.,ragworts,plant,Asteraceae,Jacobaea,1
jacobaea-vulgaris-subsp-vulgaris,Jacobaea vulgaris subsp. vulgaris,common ragwort,plant,Asteraceae,Jacobaea,1
juncus-bufonius,Juncus bufonius,Toad Rush,plant,Juncaceae,Juncus,1
juncus-effusus,Juncus effusus,Soft-rush,plant,Juncaceae,Juncus,1
juncus-inflexus,Juncus inflexus,Hard Rush,plant,Juncaceae,Juncus,1
juncus-subnodulosus,Juncus subnodulosus,Blunt-flowered Rush,plant,Juncaceae,Juncus,1
juniperus-spec,Juniperus spec.,Juniper unknown,plant,Cupressaceae,Juniperus,1
knautia-macedonica,Knautia macedonica,Macedonian scabious,plant,Caprifoliaceae,Knautia,1
kniphofia-spec,Kniphofia spec.,Red hot pokers unknown,other,,,1
lactuca-serriola-f-serriola,Lactuca serriola f. serriola,prickly lettuce,plant,Asteraceae,Lactuca,1
lamium-maculatum,Lamium maculatum,Spotted Dead-nettle,plant,Lamiaceae,Lamium,1
lamium-purpureum,Lamium purpureum,Red Dead-nettle,plant,Lamiaceae,Lamium,1
laridae-indet,Laridae indet.,Gull or Tern unknown,bird,Laridae,,1
lauritrioza-alacris,Lauritrioza alacris,Bay Sucker,insect,Triozidae,Lauritrioza,1
