slug,latin_name,common_name,category,family,genus,observations_count
betonica-officinalis,Betonica officinalis,Betony,plant,Lamiaceae,Betonica,2
blepharipa-pratensis,Blepharipa pratensis,a tachinid fly,insect,Tachinidae,Blepharipa,2
bolboschoenus-laticarpus,Bolboschoenus laticarpus,inland club-rush,plant,Cyperaceae,Bolboschoenus,2
borago-officinalis,Borago officinalis,Borage,plant,Boraginaceae,Borago,2
brachmia-blandella,Brachmia blandella,gorse crest,insect,Gelechiidae,Brachmia,2
calendula-officinalis,Calendula officinalis,Garden Marigold,plant,Asteraceae,Calendula,2
caloptilia-stigmatella,Caloptilia stigmatella,Willow Leafcone Caterpillar Moth,insect,Gracillariidae,Caloptilia,2
caradrina-kadenii,Caradrina kadenii,Clancy's Rustic,insect,Noctuidae,Caradrina,2
carduus-nutans,Carduus nutans,Nodding Thistle,plant,Asteraceae,Carduus,2
carex-hirta,Carex hirta,Hairy Sedge,plant,Cyperaceae,Carex,2
cassida-rubiginosa,Cassida rubiginosa,Thistle Tortoise Beetle,insect,Chrysomelidae,Cassida,2
castanea-sativa,Castanea sativa,Sweet Chestnut,plant,Fagaceae,Castanea,2
centaurea-cyanus-cultivar,Centaurea cyanus (cultivar),cornflower cultivar,plant,Asteraceae,Centaurea,2
centaurium-erythraea,Centaurium erythraea,Common Centaury,plant,Gentianaceae,Centaurium,2
cephalaria-gigantea,Cephalaria gigantea,Giant Scabious,plant,Caprifoliaceae,Cephalaria,2
cerastium-fontanum,Cerastium fontanum,Common Mouse-ear,plant,Caryophyllaceae,Cerastium,2
ceratostigma-plumbaginoides,Ceratostigma plumbaginoides,Blue leadwood,plant,Plumbaginaceae,Ceratostigma,2
chenopodium-ficifolium,Chenopodium ficifolium,Fig-leaved Goosefoot,plant,Amaranthaceae,Chenopodium,2
chromatomyia-primulae,Chromatomyia primulae,primrose leaf miner,insect,Agromyzidae,Chromatomyia,2
chrysotus-spec,Chrysotus spec.,Chrysotus long-legged flies,insect,Dolichopodidae,Chrysotus,2
cloeon-dipterum,Cloeon dipterum,Pond Olive,insect,Baetidae,Cloeon,2
cnaemidophorus-rhododactyla,Cnaemidophorus rhododactyla,Rose Plume,insect,Pterophoridae,Cnaemidophorus,2
cosmia-trapezina,Cosmia trapezina,Dun-bar,insect,Noctuidae,Cosmia,2
cotinus-coggygria,Cotinus coggygria,Smoke tree,plant,Anacardiaceae,Cotinus,2
crabro-cribrarius,Crabro cribrarius,Large Shield Wasp,insect,Crabronidae,Crabro,2
