slug,latin_name,common_name,category,family,genus,observations_count
emberiza-schoeniclus,Emberiza schoeniclus,Common Reed Bunting,bird,Emberizidae,Emberiza,3
empoasca-spec,Empoasca spec.,Potato leafhoppers,insect,Cicadellidae,Empoasca,3
enoplognatha-spec,Enoplognatha spec.,Cobweb spiders,arachnid,Theridiidae,Enoplognatha,3
erigeron-karvinskianus,Erigeron karvinskianus,Mexican Fleabane,plant,Asteraceae,Erigeron,3
erigeron-sumatrensis,Erigeron sumatrensis,Guernsey Fleabane,plant,Asteraceae,Erigeron,3
eristalis-nemorum,Eristalis nemorum,Stripe-faced Drone Fly,insect,Syrphidae,Eristalis,3
ethmia-quadrillella,Ethmia quadrillella,Four-spotted ethmia moth,insect,Ethmiidae,Ethmia,3
eudonia-mercurella,Eudonia mercurella,Garden Grey,insect,Crambidae,Eudonia,3
eupeodes-luniger,Eupeodes luniger,Lunuled Aphideater,insect,Syrphidae,Eupeodes,3
euproctis-chrysorrhoea,Euproctis chrysorrhoea,Brown-tail,insect,Erebidae,Euproctis,3
gandaritis-pyraliata,Gandaritis pyraliata,Barred Straw,insect,Geometridae,Eulithis,3
geranium-pyrenaicum,Geranium pyrenaicum,Hedgerow Crane's-bill,plant,Geraniaceae,Geranium,3
glebionis-segetum,Glebionis segetum,Corn Marigold,plant,Asteraceae,Glebionis,3
gnaphalium-luteoalbum,Gnaphalium luteoalbum,Jersey Cudweed,plant,Asteraceae,Helichrysum,3
gonyodiscus-rotundatus,Gonyodiscus rotundatus,Rounded Snail,mollusc,Discidae,Discus,3
grypocoris-sexguttatus,Grypocoris sexguttatus,Six-spotted plant bug,insect,Miridae,Grypocoris,3
harpalus-spec,Harpalus spec.,Ground beetles,insect,Carabidae,Harpalus,3
hecatera-bicolorata,Hecatera bicolorata,Broad-barred White,insect,Noctuidae,Hecatera,3
hecatera-dysodea,Hecatera dysodea,Small Ranunculus,insect,Noctuidae,Hecatera,3
heliophanus-spec,Heliophanus spec.,Sun Jumping Spiders,arachnid,Salticidae,Heliophanus,3
heterocerus-spec,Heterocerus spec.,Variegated mud-loving beetles,insect,Heteroceridae,Heterocerus,3
himacerus-mirmicoides,Himacerus mirmicoides,Ant Damsel Bug,insect,Nabidae,Himacerus,3
holopyga-generosa,Holopyga generosa,Cuckoo wasps,insect,Chrysididae,Holopyga,3
hypericum-x-inodorum-h-androsaemum-x-h-hircinum,Hypericum x inodorum (H. androsaemum x H. hircinum),Tall Tutsan,plant,Hypericaceae,Hypericum,3
hypsopygia-costalis,Hypsopygia costalis,Gold Triangle,insect,Pyralidae,Hypsopygia,3
