slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
aulagromyza-hendeliana,Aulagromyza hendeliana,539076,https://inaturalist-open-data.s3.amazonaws.com/photos/57006990/medium.jpeg,cc-by,"(c) Alexis Tinker-Tsavalas, some rights reserved (CC BY)",ok,leaf mine on leaf
avena-barbata,Avena barbata,1651480,https://inaturalist-open-data.s3.amazonaws.com/photos/126648535/medium.jpg,cc-by-nc,"(c) Сергей, some rights reserved (CC BY-NC)",ok,plant with spikelets
avena-fatua,Avena fatua,52698,https://inaturalist-open-data.s3.amazonaws.com/photos/268294240/medium.jpeg,cc-by-nc,"(c) Larry Swift, some rights reserved (CC BY-NC)",ok,plant with spikelets and awns
