slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
lipandra-polysperma,Lipandra polysperma,866208,https://static.inaturalist.org/photos/23474354/medium.jpg,,,"(c) Tig, all rights reserved",ok,default photo
liposthenes-glechomae,Liposthenes glechomae,61941,https://inaturalist-open-data.s3.amazonaws.com/photos/18744084/medium.jpeg,cc-by,"(c) Daniel Cahen, some rights reserved (CC BY)",ok,default photo
liriomyza-strigata,Liriomyza strigata,907332,https://inaturalist-open-data.s3.amazonaws.com/photos/99221885/medium.jpeg,cc-by-nc,"(c) Savvas Zafeiriou, some rights reserved (CC BY-NC)",ok,default photo - leaf mine
locustella-luscinioides,Locustella luscinioides,116940,https://inaturalist-open-data.s3.amazonaws.com/photos/522082090/medium.jpg,cc-by,"(c) Dmitry Koshelev, some rights reserved (CC BY)",ok,obs alternate - default all rights reserved
lonicera-periclymenum,Lonicera periclymenum,55885,https://inaturalist-open-data.s3.amazonaws.com/photos/74138374/medium.jpeg,cc-by-nc,"(c) k_wolf, some rights reserved (CC BY-NC)",ok,obs alternate - default all rights reserved
lotus-spec,Lotus spec.,47436,https://inaturalist-open-data.s3.amazonaws.com/photos/82867006/medium.jpg,cc-by,"(c) Tom Scavo, some rights reserved (CC BY)",ok,genus-level photo
lumbricidae-indet,Lumbricidae indet.,69758,https://inaturalist-open-data.s3.amazonaws.com/photos/28279/medium.jpg,cc-by-sa,"(c) Gilles San Martin, some rights reserved (CC BY-SA)",ok,family-level photo
lunularia-cruciata,Lunularia cruciata,55703,https://inaturalist-open-data.s3.amazonaws.com/photos/61481606/medium.jpeg,cc-by,"(c) Alexis Tinker-Tsavalas, some rights reserved (CC BY)",ok,obs alternate - default all rights reserved
luscinia-svecica,Luscinia svecica,13071,https://inaturalist-open-data.s3.amazonaws.com/photos/104155463/medium.jpg,cc-by-nc-nd,"(c) Anna Golubeva, some rights reserved (CC BY-NC-ND)",ok,default photo
lycaena-phlaeas,Lycaena phlaeas,55655,https://inaturalist-open-data.s3.amazonaws.com/photos/9450/medium.jpg,cc-by-nc,"(c) scarabaeus_58, some rights reserved (CC BY-NC)",ok,default photo
lygus-spec,Lygus spec.,61886,https://inaturalist-open-data.s3.amazonaws.com/photos/3925972/medium.JPG,cc-by-nc,"(c) jennam, some rights reserved (CC BY-NC)",ok,obs alternate - default all rights reserved
lymnaea-stagnalis,Lymnaea stagnalis,61770,https://inaturalist-open-data.s3.amazonaws.com/photos/159425875/medium.jpg,cc-by-nc,"(c) Gilberto Sanchez Jardon, some rights reserved (CC BY-NC)",ok,default photo
macrochilo-cribrumalis,Macrochilo cribrumalis,177220,https://inaturalist-open-data.s3.amazonaws.com/photos/222834534/medium.jpeg,cc-by-nc,"(c) sabine-g, some rights reserved (CC BY-NC)",ok,obs alternate - default all rights reserved
macropis-europaea,Macropis europaea,188686,https://inaturalist-open-data.s3.amazonaws.com/photos/97409806/medium.jpg,cc-by-nc,"(c) Rasmus Allesoee, some rights reserved (CC BY-NC)",ok,default photo
macropsis-spec,Macropsis spec.,177196,https://inaturalist-open-data.s3.amazonaws.com/photos/12472384/medium.jpg,cc-by-nc,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC)",ok,genus-level photo
macrosteles-cristatus,Macrosteles cristatus,914673,https://inaturalist-open-data.s3.amazonaws.com/photos/420857357/medium.jpg,cc-by-nc,"(c) Thomas Guggemoos, some rights reserved (CC BY-NC)",ok,obs alternate - default all rights reserved
malachiinae-indet,Malachiinae indet.,373470,https://inaturalist-open-data.s3.amazonaws.com/photos/124449121/medium.jpg,cc-by-nc,"(c) botswanabugs, some rights reserved (CC BY-NC)",ok,subfamily-level photo
malachius-bipustulatus,Malachius bipustulatus,326491,https://inaturalist-open-data.s3.amazonaws.com/photos/40404356/medium.jpeg,cc-by-nc,"(c) Felix Riegel, some rights reserved (CC BY-NC)",ok,obs alternate 2 - default all rights reserved
malvaceae-indet,Malvaceae indet.,48797,https://inaturalist-open-data.s3.amazonaws.com/photos/338212054/medium.jpg,cc-by-sa,"(c) Douglas Goldman, some rights reserved (CC BY-SA)",ok,family-level photo
marchantia-polymorpha,Marchantia polymorpha,56406,https://inaturalist-open-data.s3.amazonaws.com/photos/53992333/medium.jpeg,cc-by-sa,"(c) Douglas Goldman, some rights reserved (CC BY-SA)",ok,default photo
