slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
idaea-rusticata,Idaea rusticata,450926,https://inaturalist-open-data.s3.amazonaws.com/photos/28906483/medium.jpg,cc-by-nc,(c) Paolo Mazzei some rights reserved (CC BY-NC) uploaded by Paolo Mazzei,ok,
limnephilus-marmoratus,Limnephilus marmoratus,504555,https://inaturalist-open-data.s3.amazonaws.com/photos/98872835/medium.jpg,cc-by-nc,(c) Marie Lou Legrand some rights reserved (CC BY-NC) uploaded by Marie Lou Legrand,ok,
lomaspilis-marginata,Lomaspilis marginata,207524,https://inaturalist-open-data.s3.amazonaws.com/photos/134905712/medium.jpg,cc-by-nc,(c) Michał Brzeziński some rights reserved (CC BY-NC) uploaded by Michał Brzeziński,ok,
microlepidoptera-indet,Microlepidoptera indet.,,,,taxon_not_found,unidentified aggregate — no iNaturalist taxon
sisymbrium-officinale,Sisymbrium officinale,53266,https://inaturalist-open-data.s3.amazonaws.com/photos/279110497/medium.jpeg,cc-by,(c) Daniel Cahen some rights reserved (CC BY) uploaded by Daniel Cahen,ok,
acleris-forsskaleana,Acleris forsskaleana,342688,https://inaturalist-open-data.s3.amazonaws.com/photos/164201193/medium.jpg,cc-by-nc,(c) Andrey Ponomarev some rights reserved (CC BY-NC) uploaded by Andrey Ponomarev,ok,
andrena-flavipes,Andrena flavipes,124358,https://inaturalist-open-data.s3.amazonaws.com/photos/111731443/medium.jpg,cc-by,(c) Иван Пристрем some rights reserved (CC BY) uploaded by Иван Пристрем,ok,
anthomyiidae-indet,Anthomyiidae indet.,49996,https://inaturalist-open-data.s3.amazonaws.com/photos/60757547/medium.jpeg,cc-by-nc-sa,(c) Reiner Richter some rights reserved (CC BY-NC-SA) uploaded by Reiner Richter,ok,family-level taxon
apamea-monoglypha,Apamea monoglypha,1330132,https://inaturalist-open-data.s3.amazonaws.com/photos/66142552/medium.jpg,cc-by-nc,(c) Luca Boscain some rights reserved (CC BY-NC),ok,alternate — default photo was all-rights-reserved
chelostoma-rapunculi,Chelostoma rapunculi,357471,https://inaturalist-open-data.s3.amazonaws.com/photos/75437133/medium.jpeg,cc-by-nc,(c) Jakob Fahr some rights reserved (CC BY-NC) uploaded by Jakob Fahr,ok,
