slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
bromus-racemosus,Bromus racemosus,75900,https://inaturalist-open-data.s3.amazonaws.com/photos/289756244/medium.jpeg,cc-by,"(c) Patrick Hacker, some rights reserved (CC BY)",ok,
bromus-sitchensis,Bromus sitchensis,1610830,https://inaturalist-open-data.s3.amazonaws.com/photos/74113577/medium.jpeg,cc-by-nc,"(c) chrishargreaves, some rights reserved (CC BY-NC)",ok,
bryotropha-basaltinella,Bryotropha basaltinella,481971,https://inaturalist-open-data.s3.amazonaws.com/photos/72088319/medium.jpeg,cc-by-nc,"(c) Johan Devos, some rights reserved (CC BY-NC)",ok,
bunias-orientalis,Bunias orientalis,159601,https://inaturalist-open-data.s3.amazonaws.com/photos/525540113/medium.jpg,cc-by-nc,"(c) olegglushenkov, some rights reserved (CC BY-NC)",ok,
byturus-spec,Byturus spec.,130845,https://inaturalist-open-data.s3.amazonaws.com/photos/1818215/medium.png,cc-by-sa,"(c) Udo Schmidt, some rights reserved (CC BY-SA)",ok,
