slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
julidae-indet,Julidae indet.,121483,https://inaturalist-open-data.s3.amazonaws.com/photos/170200212/medium.jpeg,CC BY-NC-SA,"(c) Ramunė Vakarė, some rights reserved (CC BY-NC-SA)",ok,
juncus-tenuis,Juncus tenuis,69930,https://inaturalist-open-data.s3.amazonaws.com/photos/32809281/medium.jpg,CC BY-NC,"(c) V.S. Volkotrub, some rights reserved (CC BY-NC)",ok,
kleidocerys-resedae,Kleidocerys resedae,261586,https://inaturalist-open-data.s3.amazonaws.com/photos/592359903/medium.jpg,CC BY-NC,"(c) Christian Sørensen, some rights reserved (CC BY-NC)",ok,
laspeyria-flexula,Laspeyria flexula,322806,https://inaturalist-open-data.s3.amazonaws.com/photos/138211615/medium.jpg,CC BY-NC,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
lathronympha-strigana,Lathronympha strigana,326108,https://inaturalist-open-data.s3.amazonaws.com/photos/33293171/medium.jpg,CC BY-NC,"(c) Andrei, some rights reserved (CC BY-NC)",ok,
limoniidae-indet,Limoniidae indet.,47992,https://inaturalist-open-data.s3.amazonaws.com/photos/28888974/medium.jpg,CC BY,"(c) Katja Schulz, some rights reserved (CC BY)",ok,
lobularia-maritima,Lobularia maritima,56992,https://inaturalist-open-data.s3.amazonaws.com/photos/473805234/medium.jpg,CC BY-NC,"(c) mari_her03, some rights reserved (CC BY-NC)",ok,
lupinus-polyphyllus,Lupinus polyphyllus,59549,https://inaturalist-open-data.s3.amazonaws.com/photos/135866080/medium.jpg,CC BY-NC,"(c) David McCorquodale, some rights reserved (CC BY-NC)",ok,
lysimachia-nummularia,Lysimachia nummularia,51809,https://inaturalist-open-data.s3.amazonaws.com/photos/519657907/medium.jpg,CC BY-NC,"(c) miroslavamalovcova, some rights reserved (CC BY-NC)",ok,
malva-alcea,Malva alcea,146876,https://inaturalist-open-data.s3.amazonaws.com/photos/582071486/medium.jpg,CC BY-NC,"(c) Antje, some rights reserved (CC BY-NC)",ok,
mellinus-arvensis,Mellinus arvensis,127757,https://inaturalist-open-data.s3.amazonaws.com/photos/544896918/medium.jpg,CC BY-NC,"(c) Christian Sørensen, some rights reserved (CC BY-NC)",ok,
metzneria-lappella,Metzneria lappella,118556,https://inaturalist-open-data.s3.amazonaws.com/photos/44246984/medium.jpeg,CC BY-NC,"(c) Robby Deans, some rights reserved (CC BY-NC)",ok,
mimulus-guttatus,Mimulus guttatus,470643,https://inaturalist-open-data.s3.amazonaws.com/photos/80360799/medium.jpeg,CC BY,"(c) Matt Berger, some rights reserved (CC BY)",ok,
misumena-vatia,Misumena vatia,55746,https://inaturalist-open-data.s3.amazonaws.com/photos/42263061/medium.jpeg,CC BY-NC,"(c) Robby Deans, some rights reserved (CC BY-NC)",ok,
mompha-ochraceella,Mompha ochraceella,360078,https://inaturalist-open-data.s3.amazonaws.com/photos/47159717/medium.jpg,CC BY-NC,"(c) ALLEMAND Guillaume, some rights reserved (CC BY-NC)",ok,
monacha-cantiana,Monacha cantiana,105968,https://inaturalist-open-data.s3.amazonaws.com/photos/142566332/medium.jpg,CC BY-NC,"(c) Jon J. Laysell, some rights reserved (CC BY-NC)",ok,
muscidae-indet,Muscidae indet.,70144,https://inaturalist-open-data.s3.amazonaws.com/photos/10744702/medium.jpg,CC BY,"(c) Katja Schulz, some rights reserved (CC BY)",ok,
myotis-daubentonii,Myotis daubentonii,424254,https://inaturalist-open-data.s3.amazonaws.com/photos/4627741/medium.jpg,CC BY-NC,"(c) Martin Grimm, some rights reserved (CC BY-NC)",ok,
nassella-tenuissima,Nassella tenuissima,165660,https://inaturalist-open-data.s3.amazonaws.com/photos/54342486/medium.jpg,CC BY-NC,"(c) Mike Lusk, some rights reserved (CC BY-NC)",ok,
nomada-zonata,Nomada zonata,484630,https://inaturalist-open-data.s3.amazonaws.com/photos/105685844/medium.jpg,CC BY-NC,"(c) Philip Mark Osso, some rights reserved (CC BY-NC)",ok,
ondatra-zibethicus,Ondatra zibethicus,45763,https://inaturalist-open-data.s3.amazonaws.com/photos/493463450/medium.jpg,CC BY-NC,"(c) Leonid, some rights reserved (CC BY-NC)",ok,
palloptera-muliebris,Palloptera muliebris,795146,https://inaturalist-open-data.s3.amazonaws.com/photos/8417037/medium.jpeg,CC BY-NC,"(c) Jakob Fahr, some rights reserved (CC BY-NC)",ok,
papaver-dubium,Papaver dubium,55918,https://inaturalist-open-data.s3.amazonaws.com/photos/345577480/medium.jpeg,CC BY-NC,"(c) Sonja Bouwman-Gringhuis, some rights reserved (CC BY-NC)",ok,
parapoynx-stratiotata,Parapoynx stratiotata,451910,https://inaturalist-open-data.s3.amazonaws.com/photos/216534940/medium.jpg,CC BY-NC,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
pelophylax-spec,Pelophylax spec.,64806,https://inaturalist-open-data.s3.amazonaws.com/photos/210781055/medium.jpeg,CC BY-NC,"(c) Anastasia Pedenko, some rights reserved (CC BY-NC)",ok,
