slug,latin_name,common_name,category,family,genus,observations_count
eristalis-similis,Eristalis similis,Glass-winged Drone Fly,insect,Syrphidae,Eristalis,2
eryngium-bourgatii,Eryngium bourgatii,Pyrenean Eryngo,plant,Apiaceae,Eryngium,2
eucosma-campoliliana,Eucosma campoliliana,Marbled Bell,insect,Tortricidae,Eucosma,2
eulithis-prunata,Eulithis prunata,Phoenix,insect,Geometridae,Eulithis,2
euonymus-europaeus,Euonymus europaeus,Spindle,plant,Celastraceae,Euonymus,2
eupithecia-haworthiata,Eupithecia haworthiata,Haworth's Pug,insect,Geometridae,Eupithecia,2
eupithecia-spec,Eupithecia spec.,Pug Moths,insect,Geometridae,Eupithecia,2
eupithecia-tantillaria,Eupithecia tantillaria,Dwarf Pug,insect,Geometridae,Eupithecia,2
euthrix-potatoria,Euthrix potatoria,Drinker,insect,Lasiocampidae,Euthrix,2
eutonia-barbipes,Eutonia barbipes,a crane fly,insect,Limoniidae,Eutonia,2
falco-subbuteo,Falco subbuteo,Eurasian Hobby,bird,Falconidae,Falco,2
filipendula-ulmaria,Filipendula ulmaria,Meadowsweet,plant,Rosaceae,Filipendula,2
flavoparmelia-soredians,Flavoparmelia soredians,Shadow Greenshield Lichen,lichen,Parmeliaceae,Flavoparmelia,2
fomoria-septembrella,Fomoria septembrella,Hypericum Pigmy,insect,Nepticulidae,Fomoria,2
gammarus-tigrinus,Gammarus tigrinus,banded freshwater shrimp,insect,Gammaridae,Gammarus,2
ganoderma-lipsiense,Ganoderma lipsiense,artist's bracket,fungus,Polyporaceae,Polyporus,2
gastrolepta-anthracina,Gastrolepta anthracina,a tachinid fly,insect,Tachinidae,Gastrolepta,2
gastrophysa-viridula,Gastrophysa viridula,Green Dock Beetle,insect,Chrysomelidae,Gastrophysa,2
geranium-nodosum,Geranium nodosum,Knotted Crane's-bill,plant,Geraniaceae,Geranium,2
glyphotaelius-pellucidus,Glyphotaelius pellucidus,Mottled sedge,insect,Limnephilidae,Glyphotaelius,2
graphocephala-fennahi,Graphocephala fennahi,Rhododendron leafhopper,insect,Cicadellidae,Graphocephala,2
grapholita-janthinana,Grapholita janthinana,Pale-bordered Piercer,insect,Tortricidae,Grapholita,2
hadena-compta,Hadena compta,Varied Coronet,insect,Noctuidae,Hadena,2
halyomorpha-halys,Halyomorpha halys,Brown Marmorated Stink Bug,insect,Pentatomidae,Halyomorpha,2
harmonia-quadripunctata,Harmonia quadripunctata,Cream-streaked ladybird,insect,Coccinellidae,Harmonia,2
