slug,latin_name,common_name,category,family,genus,observations_count
lipandra-polysperma,Lipandra polysperma,Many-seeded Goosefoot,plant,Amaranthaceae,Lipandra,1
liposthenes-glechomae,Liposthenes glechomae,Glechoma gall wasp,insect,Cynipidae,Liposthenes,1
liriomyza-strigata,Liriomyza strigata,leaf-miner fly,insect,Agromyzidae,Liriomyza,1
locustella-luscinioides,Locustella luscinioides,Savi's Warbler,bird,Locustellidae,Locustella,1
lonicera-periclymenum,Lonicera periclymenum,European honeysuckle,plant,Caprifoliaceae,Lonicera,1
lotus-spec,Lotus spec.,Bird's-foot-trefoil unknown,other,,,1
lumbricidae-indet,Lumbricidae indet.,Earthworm unidentified,other,Lumbricidae,,1
lunularia-cruciata,Lunularia cruciata,Crescent-cup Liverwort,plant,Lunulariaceae,Lunularia,1
luscinia-svecica,Luscinia svecica,Bluethroat,bird,Muscicapidae,Luscinia,1
lycaena-phlaeas,Lycaena phlaeas,Small Copper,insect,Lycaenidae,Lycaena,1
lygus-spec,Lygus spec.,Lygus Bugs,other,,,1
lymnaea-stagnalis,Lymnaea stagnalis,Great Pond Snail,mollusc,Lymnaeidae,Lymnaea,1
macrochilo-cribrumalis,Macrochilo cribrumalis,Dotted Fan-foot,insect,Erebidae,Macrochilo,1
macropis-europaea,Macropis europaea,Yellow-Loosestrife Bee,insect,Melittidae,Macropis,1
macropsis-spec,Macropsis spec.,tree leafhoppers,other,,,1
macrosteles-cristatus,Macrosteles cristatus,crested leafhopper,insect,Cicadellidae,Macrosteles,1
malachiinae-indet,Malachiinae indet.,Malachite Beetle unknown,other,,,1
malachius-bipustulatus,Malachius bipustulatus,Common Malachite-beetle,insect,Melyridae,Malachius,1
malvaceae-indet,Malvaceae indet.,Mallow and Hibiscus Family,plant,Malvaceae,,1
marchantia-polymorpha,Marchantia polymorpha,Common Liverwort,plant,Marchantiaceae,Marchantia,1
medicago-x-varia-m-falcata-x-m-sativa,Medicago x varia (M. falcata x M. sativa),Sand Lucerne,plant,Fabaceae,Medicago,1
megachile-versicolor,Megachile versicolor,Brown-footed Leafcutter Bee,insect,Megachilidae,Megachile,1
melanoleuca-verrucipes,Melanoleuca verrucipes,Warty Knight,fungus,Tricholomataceae,Melanoleuca,1
melanotus-spec,Melanotus spec.,Australasian Swamphen,other,,,1
melica-transsilvanica,Melica transsilvanica,Transylvanian melick,plant,Poaceae,Melica,1
