slug,latin_name,common_name,category,family,genus,observations_count
julidae-indet,Julidae indet.,Snake millipedes,insect,Julidae,,3
juncus-tenuis,Juncus tenuis,Slender Rush,plant,Juncaceae,Juncus,3
kleidocerys-resedae,Kleidocerys resedae,Birch Catkin Bug,insect,Lygaeidae,Kleidocerys,3
laspeyria-flexula,Laspeyria flexula,Beautiful Hook-tip,insect,Erebidae,Laspeyria,3
lathronympha-strigana,Lathronympha strigana,Red Piercer,insect,Tortricidae,Lathronympha,3
limoniidae-indet,Limoniidae indet.,Limoniid Crane Flies,insect,Limoniidae,,3
lobularia-maritima,Lobularia maritima,Sweet Alison,plant,Brassicaceae,Lobularia,3
lupinus-polyphyllus,Lupinus polyphyllus,Garden Lupin,plant,Fabaceae,Lupinus,3
lysimachia-nummularia,Lysimachia nummularia,Creeping-Jenny,plant,Primulaceae,Lysimachia,3
malva-alcea,Malva alcea,Greater Musk-mallow,plant,Malvaceae,Malva,3
mellinus-arvensis,Mellinus arvensis,Field Digger Wasp,insect,Crabronidae,Mellinus,3
metzneria-lappella,Metzneria lappella,Burdock Seedhead Moth,insect,Gelechiidae,Metzneria,3
mimulus-guttatus,Mimulus guttatus,Seep monkeyflower,plant,Phrymaceae,Erythranthe,3
misumena-vatia,Misumena vatia,Flower Spider,arachnid,Thomisidae,Misumena,3
mompha-ochraceella,Mompha ochraceella,Buff Cosmet,insect,Momphidae,Mompha,3
monacha-cantiana,Monacha cantiana,Kentish Snail,mollusc,Hygromiidae,Monacha,3
muscidae-indet,Muscidae indet.,House Flies and Allies,insect,Muscidae,,3
myotis-daubentonii,Myotis daubentonii,Daubenton's Bat,mammal,Vespertilionidae,Myotis,3
nassella-tenuissima,Nassella tenuissima,Feather-grass,plant,Poaceae,Nassella,3
nomada-zonata,Nomada zonata,Variable Nomad Bee,insect,Apidae,Nomada,3
ondatra-zibethicus,Ondatra zibethicus,Common Muskrat,mammal,Cricetidae,Ondatra,3
palloptera-muliebris,Palloptera muliebris,Flutter fly,insect,Pallopteridae,Palloptera,3
papaver-dubium,Papaver dubium,Long-headed Poppy,plant,Papaveraceae,Papaver,3
parapoynx-stratiotata,Parapoynx stratiotata,Ringed China-mark,insect,Crambidae,Parapoynx,3
pelophylax-spec,Pelophylax spec.,Green Frog spec.,amphibian,Ranidae,Pelophylax,3
