slug,latin_name,common_name,category,family,genus,observations_count
anobiidae-indet,Anobiidae indet.,"Deathwatch, Spider, and Wood-borer Beetles",insect,Anobiidae,,4
arctium-lappa,Arctium lappa,Greater Burdock,plant,Asteraceae,Arctium,4
arctium-spec,Arctium spec.,Burdock unknown,plant,Asteraceae,Arctium,4
auricularia-mesenterica,Auricularia mesenterica,Tripe fungus,fungus,Auriculariaceae,Auricularia,4
capsella-bursa-pastoris,Capsella bursa-pastoris,Shepherd's-purse,plant,Brassicaceae,Capsella,4
carabidae-indet,Carabidae indet.,Unidentified Ground beetle,insect,Carabidae,,4
cernuella-virgata,Cernuella virgata,Striped Snail,mollusc,Geomitridae,Cernuella,4
chloroclystis-v-ata,Chloroclystis v-ata,V-Pug,insect,Geometridae,Chloroclystis,4
clematis-vitalba,Clematis vitalba,Traveller's-joy,plant,Ranunculaceae,Clematis,4
clubiona-spec,Clubiona spec.,Stout Sac Spider unknown,arachnid,Clubionidae,Clubiona,4
cnephaeus-serotinus,Cnephaeus serotinus,Serotine,mammal,Vespertilionidae,Eptesicus,4
colletes-daviesanus-fodiens-similis,Colletes daviesanus/fodiens/similis,Davies' Cellophane Bee,insect,Colletidae,Colletes,4
consolida-ajacis,Consolida ajacis,Eastern Larkspur,plant,Ranunculaceae,Delphinium,4
coprinellus-micaceus,Coprinellus micaceus,mica cap,fungus,Psathyrellaceae,Coprinellus,4
cosmia-pyralina,Cosmia pyralina,Lunar-spotted Pinion,insect,Noctuidae,Cosmia,4
dianthus-armeria,Dianthus armeria,Deptford Pink,plant,Caryophyllaceae,Dianthus,4
dichrorampha-spec,Dichrorampha spec.,Dichrorampha tortrix moths,insect,Tortricidae,Dichrorampha,4
dicyphus-epilobii,Dicyphus epilobii,Dicyphus plant bug,insect,Miridae,Dicyphus,4
digitaria-sanguinalis,Digitaria sanguinalis,Hairy Finger-grass,plant,Poaceae,Digitaria,4
dolycoris-baccarum,Dolycoris baccarum,Hairy Shieldbug,insect,Pentatomidae,Dolycoris,4
ectemnius-spec,Ectemnius spec.,Square-headed wasps,insect,Crabronidae,Ectemnius,4
ectropis-crepuscularia,Ectropis crepuscularia,Small Engrailed,insect,Geometridae,Ectropis,4
epinotia-abbreviana,Epinotia abbreviana,Brown Elm Bell,insect,Tortricidae,Epinotia,4
eratigena-spec,Eratigena spec.,House spiders,arachnid,Agelenidae,Eratigena,4
erodium-cicutarium,Erodium cicutarium,Common Stork's-bill,plant,Geraniaceae,Erodium,4
