slug,latin_name,common_name,category,family,genus,taxon_group,observations_count
closterotomus-norwegicus,Closterotomus norwegicus,Potato Mirid,insect,Miridae,Closterotomus,15,8
colletes-spec,Colletes spec.,"",insect,Colletidae,Colletes,17,8
convolvulus-arvensis,Convolvulus arvensis,Field Bindweed,plant,Convolvulaceae,Convolvulus,10,8
crataegus-monogyna,Crataegus monogyna,Hawthorn,plant,Rosaceae,Crataegus,10,8
curruca-communis,Curruca communis,Common Whitethroat,bird,Sylviidae,Sylvia,1,8
digitalis-purpurea,Digitalis purpurea,Foxglove,plant,Plantaginaceae,Digitalis,10,8
emmelina-monodactyla,Emmelina monodactyla,Common Plume,insect,Pterophoridae,Emmelina,8,8
eudonia-lacustrata,Eudonia lacustrata,"",insect,Crambidae,Eudonia,8,8
eurydema-oleracea,Eurydema oleracea,Cabbage Bug,insect,Pentatomidae,Eurydema,15,8
gonocerus-acuteangulatus,Gonocerus acuteangulatus,Box Bug,insect,Coreidae,Gonocerus,15,8
heterogaster-urticae,Heterogaster urticae,Nettle ground bug,insect,Heterogastridae,Heterogaster,15,8
impatiens-parviflora,Impatiens parviflora,Small Balsam,plant,Balsaminaceae,Impatiens,10,8
lactuca-serriola,Lactuca serriola,Prickly Lettuce,plant,Asteraceae,Lactuca,10,8
leucania-obsoleta,Leucania obsoleta,Obscure Wainscot,insect,Noctuidae,Leucania,8,8
mononychus-punctumalbum,Mononychus punctumalbum,"",insect,Curculionidae,Mononychus,16,8
nephopterix-angustella,Nephopterix angustella,"",insect,Pyralidae,Nephopterix,8,8
pentaglottis-sempervirens,Pentaglottis sempervirens,Green Alkanet,plant,Boraginaceae,Pentaglottis,10,8
philaenus-spumarius,Philaenus spumarius,Common froghopper,insect,Aphrophoridae,Philaenus,15,8
phragmites-australis,Phragmites australis,Common Reed,plant,Poaceae,Phragmites,10,8
