slug,latin_name,taxon_group,family,genus,observations_count
plectosphaerella-alismatis,Plectosphaerella alismatis,11,Plectosphaerellaceae,Plectosphaerella,1
pneumia-nubila-trivialis,Pneumia nubila/trivialis,18,Psychodidae,Pneumia,1
pompilus-cinereus,Pompilus cinereus,17,Pompilidae,Pompilus,1
procambarus,Procambarus,Animalia,Cambaridae,Procambarus,1
protomyces-macrosporus,Protomyces macrosporus,11,Taphrinaceae,Protomyces,1
psyllopsis-spec,Psyllopsis spec.,15,Liviidae,Psyllopsis,1
puccinia-aegopodii,Puccinia aegopodii,11,Pucciniaceae,Puccinia,1
puccinia-allii,Puccinia allii,11,Pucciniaceae,Puccinia,1
rhaphium-spec,Rhaphium spec.,18,,,1
rhembobius-perscrutator,Rhembobius perscrutator,17,Ichneumonidae,Rhembobius,1
rhogogaster-viridis-s-l,Rhogogaster viridis s.l.,17,Tenthredinidae,Rhogogaster,1
sawadaea-bicornis,Sawadaea bicornis,11,Erysiphaceae,Sawadaea,1
sciapus-platypterus,Sciapus platypterus,18,Dolichopodidae,Sciapus,1
sciota-rhenella,Sciota rhenella,8,Pyralidae,Sciota,1
scymnus-schmidti-gr,Scymnus schmidti-gr,16,,,1
sepsis-spec,Sepsis spec.,18,Sepsidae,Sepsis,1
sphaeroderma-spec,Sphaeroderma spec.,16,,,1
sphaeromias-spec,Sphaeromias spec.,18,Ceratopogonidae,Sphaeromias,1
spintherophyta,Spintherophyta,Insecta,Chrysomelidae,Spintherophyta,1
stemonitis-axifera,Stemonitis axifera,Protozoa,Stemonitidaceae,Stemonitis,1
stenolophus-mixtus,Stenolophus mixtus,16,Carabidae,Stenolophus,1
suillia-spec,Suillia spec.,18,Heleomyzidae,Suillia,1
symmorphus-crassicornis,Symmorphus crassicornis,17,Eumenidae,Symmorphus,1
symplecta-stictica,Symplecta stictica,18,Limoniidae,Symplecta,1
tachydromia,Tachydromia,Insecta,Hybotidae,Tachydromia,1
tachysphex-pompiliformis,Tachysphex pompiliformis,17,Crabronidae,Tachysphex,1
tasgius,Tasgius,Insecta,Staphylinidae,Tasgius,1
tenthredo-spec,Tenthredo spec.,17,Tenthredinidae,Tenthredo,1
tephritis,Tephritis,Insecta,,,1
tetrix-spec,Tetrix spec.,14,Tetrigidae,Tetrix,1
