slug,latin_name,taxon_group,family,genus,observations_count
eutonia-barbipes,Eutonia barbipes,18,Limoniidae,Eutonia,2
gammarus-tigrinus,Gammarus tigrinus,13,Gammaridae,Gammarus,2
gastrolepta-anthracina,Gastrolepta anthracina,18,Tachinidae,Gastrolepta,2
gymnochiromyia,Gymnochiromyia,Insecta,Chyromyidae,Gymnochiromyia,2
harpella-forficella,Harpella forficella,8,Oecophoridae,Harpella,2
hercostomus-nigriplantis,Hercostomus nigriplantis,18,Dolichopodidae,Hercostomus,2
hypericum-androsaemum-hypericum-hircinum-hypericum-x-inodorum,Hypericum androsaemum + Hypericum hircinum + Hypericum x inodorum,10,"","",2
lamiastrum-galeobdolon-subsp-argentatum,Lamiastrum galeobdolon subsp. argentatum,10,Lamiaceae,Lamium,2
leccinum-scabrum-sl-incl-cyaneobasileucum-melaneum-schistophilum-variicolor,"Leccinum scabrum sl, incl. cyaneobasileucum, melaneum, schistophilum, variicolor",11,Boletaceae,Leccinum,2
lindneromyia-dorsalis,Lindneromyia dorsalis,18,Platypezidae,Lindneromyia,2
macrocentrus-spec,Macrocentrus spec.,17,Braconidae,Macrocentrus,2
megaloceroea-recticornis,Megaloceroea recticornis,15,Miridae,Megaloceroea,2
megalocoleus-molliculus,Megalocoleus molliculus,15,Miridae,Megalocoleus,2
melanomya-nana,Melanomya nana,18,Calliphoridae,Melanomya,2
microlinyphia-pusilla,Microlinyphia pusilla,13,Linyphiidae,Microlinyphia,2
mystacides-nigra,Mystacides nigra,6,Leptoceridae,Mystacides,2
nephrotoma-cornicina,Nephrotoma cornicina,18,Tipulidae,Nephrotoma,2
oxybelus-bipunctatus,Oxybelus bipunctatus,17,Crabronidae,Oxybelus,2
palloptera-ustulata,Palloptera ustulata,18,Pallopteridae,Palloptera,2
parasola-plicatilis-sl-incl-galericuliformis-hercules-kuehneri-leiocephala-megasperma-schroeteri,"Parasola plicatilis sl, incl. galericuliformis, hercules, kuehneri, leiocephala, megasperma, schroeteri",11,Psathyrellaceae,Parasola,2
