slug,latin_name,taxon_group,family,genus,observations_count
dicyphus-epilobii,Dicyphus epilobii,15,Miridae,Dicyphus,4
ectemnius-spec,Ectemnius spec.,17,Crabronidae,Ectemnius,4
eratigena-spec,Eratigena spec.,13,Agelenidae,Eratigena,4
orthotrichia-costalis,Orthotrichia costalis,6,Hydroptilidae,Orthotrichia,4
phyllobius-pilicornis,Phyllobius pilicornis,16,Curculionidae,Phyllobius,4
pimplinae-indet,Pimplinae indet.,17,,,4
planuncus-tingitanus-s-l,Planuncus tingitanus s.l.,6,Ectobiidae,Planuncus,4
populus-x-canadensis-p-deltoides-x-p-nigra,Populus x canadensis (P. deltoides x P. nigra),10,Salicaceae,Populus,4
sciapus-spec,Sciapus spec.,18,Dolichopodidae,Sciapus,4
silis-ruficollis,Silis ruficollis,16,Cantharidae,Crudosilis,4
torymus-spec,Torymus spec.,17,Torymidae,Torymus,4
anisodactylus-binotatus,Anisodactylus binotatus,16,Carabidae,Anisodactylus,3
chrysoperla-carnea-s-l,Chrysoperla carnea s.l.,6,Chrysopidae,Chrysoperla,3
crabro-peltarius,Crabro peltarius,17,Crabronidae,Crabro,3
ctenophora-festiva,Ctenophora festiva,18,Tipulidae,Ctenophora,3
dolichopus-spec,Dolichopus spec.,18,,,3
ecnomus-tenellus,Ecnomus tenellus,6,Ecnomidae,Ecnomus,3
empoasca-spec,Empoasca spec.,15,Cicadellidae,Empoasca,3
enoplognatha-spec,Enoplognatha spec.,13,Theridiidae,Enoplognatha,3
ethmia-quadrillella,Ethmia quadrillella,8,Ethmiidae,Ethmia,3
grypocoris-sexguttatus,Grypocoris sexguttatus,15,Miridae,Grypocoris,3
harpalus-spec,Harpalus spec.,16,Carabidae,Harpalus,3
hemicrepidius-niger,Hemicrepidius niger,16,Elateridae,Hemicrepidius,3
heterocerus-spec,Heterocerus spec.,16,Heteroceridae,Heterocerus,3
holopyga-generosa,Holopyga generosa,17,Chrysididae,Holopyga,3
julidae-indet,Julidae indet.,13,Julidae,,3
macrosiphini,Macrosiphini,Insecta,,,3
palloptera-muliebris,Palloptera muliebris,18,Pallopteridae,Palloptera,3
rubus-sect-corylifolii-rubus-sect-rubus,Rubus sect. Corylifolii + Rubus sect. Rubus,10,,,3
stenarella-domator,Stenarella domator,17,Ichneumonidae,Stenarella,3
