slug,form,hue,aspect,sat,tail,head_stripe,status,note
tetraneura-ulmi,bug,72.9,1.00,45,thin,False,ok,
tetrix-spec,grasshopper,209.6,1.00,50,thin,False,ok,
textrix-denticulata,spider,24.0,1.00,35,thin,False,ok,
thaumatomyia-spec,bee,65.7,1.00,55,thin,False,ok,
theba-pisana,mollusc,73.4,0.90,55,thin,False,ok,
thelaira-nigripes,bee,71.8,1.00,55,thin,False,ok,
thera-britannica-variata,moth,38.9,1.00,55,thin,False,ok,
thera-obeliscata,moth,42.0,1.00,55,thin,False,ok,
thereva-cinifera,bee,127.3,1.00,55,thin,False,ok,
thereva-nobilitata,bee,62.9,1.00,55,thin,False,ok,
thinornis-dubius,wading-bird,39.2,1.00,30,thin,False,ok,
thlaspi-arvense,,,,,,,no_form,plantae/magnoliopsida/brassicales
thumatha-senex,moth,74.8,1.00,55,thin,False,ok,
thymus-pulegioides,,,,,,,no_form,plantae/magnoliopsida/lamiales
thysanoptera-indet,bug,36.0,1.00,40,thin,False,ok,
tilia-spec,,,,,,,no_form,plantae/magnoliopsida/malvales
tilia-tomentosa,,,,,,,no_form,plantae/magnoliopsida/malvales
tillus-elongatus,beetle,15.0,1.00,55,thin,False,ok,
tinea-pellionella,moth,28.1,1.00,55,thin,False,ok,
tineola-bisselliella,moth,42.7,1.00,55,thin,False,ok,
tinodes-waeneri,bug,27.8,1.00,40,thin,False,ok,
tiphia-minuta,bee,60.0,1.00,55,thin,False,ok,
tipula-fascipennis,bee,62.5,1.00,55,thin,False,ok,
tipula-lunata,bee,46.6,1.00,55,thin,False,ok,
tipula-paludosa-oleracea,bee,90.6,1.00,55,thin,False,ok,
tipulidae-indet,bee,115.4,1.00,55,thin,False,ok,
tischeria-ekebladella,moth,27.8,1.00,55,thin,False,ok,
torilis-japonica,,,,,,,no_form,plantae/magnoliopsida/apiales
torilis-nodosa,,,,,,,no_form,plantae/magnoliopsida/apiales
tortrix-viridana,moth,97.1,1.00,55,thin,False,ok,
torymus-spec,bee,104.0,1.00,55,thin,False,ok,
