slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
pediasia-contaminella,Pediasia contaminella,322382,https://inaturalist-open-data.s3.amazonaws.com/photos/395582/medium.jpg,cc-by-nc-sa,"(c) Marcello Consolo, some rights reserved (CC BY-NC-SA)",ok,
pediopsis-tiliae,Pediopsis tiliae,227350,https://inaturalist-open-data.s3.amazonaws.com/photos/26946609/medium.jpg,cc-by-nc,"(c) Nikolai Vladimirov, some rights reserved (CC BY-NC)",ok,
pelosia-obtusa,Pelosia obtusa,483381,https://inaturalist-open-data.s3.amazonaws.com/photos/216535409/medium.jpg,cc-by-nc,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
peribalus-strictus,Peribalus strictus,491461,https://inaturalist-open-data.s3.amazonaws.com/photos/32970271/medium.jpeg,cc-by-nc,"(c) Lupoli Roland, some rights reserved (CC BY-NC)",ok,
peribatodes-secundaria,Peribatodes secundaria,324190,https://inaturalist-open-data.s3.amazonaws.com/photos/52141986/medium.jpg,cc-by-nc,"(c) Paolo Mazzei, some rights reserved (CC BY-NC)",ok,
periclista-spec,Periclista spec.,359137,https://inaturalist-open-data.s3.amazonaws.com/photos/120751315/medium.jpeg,cc-by-nc,"(c) Stefan, some rights reserved (CC BY-NC)",ok,genus-level
peripsychoda-auriculata,Peripsychoda auriculata,1005447,https://inaturalist-open-data.s3.amazonaws.com/photos/171063422/medium.jpeg,cc-by-nc,"(c) Marie Lou Legrand, some rights reserved (CC BY-NC)",ok,
peripsychoda-spec,Peripsychoda spec.,922435,https://inaturalist-open-data.s3.amazonaws.com/photos/487288075/medium.jpeg,cc-by-nc,"(c) Federico Biguzzi, some rights reserved (CC BY-NC)",ok,genus-level; used alt obs photo
perizoma-alchemillata,Perizoma alchemillata,201403,https://inaturalist-open-data.s3.amazonaws.com/photos/47815226/medium.jpg,cc-by-nc,"(c) ALLEMAND Guillaume, some rights reserved (CC BY-NC)",ok,
perizoma-flavofasciata,Perizoma flavofasciata,460199,https://inaturalist-open-data.s3.amazonaws.com/photos/1699598/medium.jpg,cc-by-nc-sa,"(c) Wildlife in a Dorset garden, some rights reserved (CC BY-NC-SA)",ok,
perovskia-abrotanoides,Perovskia abrotanoides,941722,https://inaturalist-open-data.s3.amazonaws.com/photos/40101992/medium.jpeg,cc-by-nc,"(c) Jennifer Chandler, some rights reserved (CC BY-NC)",ok,
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,,,,,"skip","no open-licensed recognisable photo found for hybrid"
