slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
veronica-catenata,Veronica catenata,79496,https://inaturalist-open-data.s3.amazonaws.com/photos/261854581/medium.jpeg,cc-by-nc,"(c) adippe, some rights reserved (CC BY-NC)",ok,
veronica-filiformis,Veronica filiformis,55825,https://inaturalist-open-data.s3.amazonaws.com/photos/6859669/medium.jpg,cc-by-nc-sa,"(c) Amy, some rights reserved (CC BY-NC-SA)",ok,alt from observations
veronica-longifolia,Veronica longifolia,170192,https://inaturalist-open-data.s3.amazonaws.com/photos/571064/medium.jpg,cc-by-nc-nd,"(c) --Tico--, some rights reserved (CC BY-NC-ND)",ok,
veronica-persica,Veronica persica,55666,https://inaturalist-open-data.s3.amazonaws.com/photos/472978578/medium.jpeg,cc-by-nc,"(c) liriodendron_tulipifera, some rights reserved (CC BY-NC)",ok,
veronicastrum-virginicum,Veronicastrum virginicum,141767,https://inaturalist-open-data.s3.amazonaws.com/photos/2173863/medium.jpg,cc-by-nc,"(c) Amy Beth Workman, some rights reserved (CC BY-NC)",ok,
vespa-velutina-nigrithorax,Vespa velutina nigrithorax,560197,https://inaturalist-open-data.s3.amazonaws.com/photos/616255399/medium.jpg,cc-by-nc,"(c) scottishrob, some rights reserved (CC BY-NC)",ok,alt from observations
vespinae-indet,Vespinae indet.,84738,https://inaturalist-open-data.s3.amazonaws.com/photos/39392134/medium.jpeg,cc-by-sa,"(c) Gilles San Martin, some rights reserved (CC BY-SA)",ok,
vespula-spec,Vespula spec.,61356,https://inaturalist-open-data.s3.amazonaws.com/photos/56189528/medium.jpeg,cc-by-nc,"(c) tex-anne, some rights reserved (CC BY-NC)",ok,
viburnum-opulus,Viburnum opulus,1622164,https://inaturalist-open-data.s3.amazonaws.com/photos/38959696/medium.jpeg,cc-by-nc,"(c) katelayton, some rights reserved (CC BY-NC)",ok,
vicia-sativa,Vicia sativa,53324,https://inaturalist-open-data.s3.amazonaws.com/photos/281444164/medium.jpg,cc-by-nc,"(c) Alenka Mihoric, some rights reserved (CC BY-NC)",ok,
volucella-bombylans,Volucella bombylans,1118722,https://inaturalist-open-data.s3.amazonaws.com/photos/15956790/medium.jpeg,cc-by-nc,"(c) Stuart Tingley, some rights reserved (CC BY-NC)",ok,
xanthorhoe-ferrugata-spadicearia,Xanthorhoe ferrugata / spadicearia,143485,https://inaturalist-open-data.s3.amazonaws.com/photos/321296792/medium.jpg,cc-by-nc,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
xanthoria-calcicola,Xanthoria calcicola,144276,https://inaturalist-open-data.s3.amazonaws.com/photos/107050600/medium.jpeg,cc-by,"(c) Michel Langeveld, some rights reserved (CC BY)",ok,
xanthostigma-xanthostigma,Xanthostigma xanthostigma,417954,https://inaturalist-open-data.s3.amazonaws.com/photos/39528616/medium.jpeg,cc-by-nc,"(c) Felix Riegel, some rights reserved (CC BY-NC)",ok,alt from observations
xerocomus-chrysenteron-sl-incl-bubalinus-cisalpinus-declivitatum-porosporus,"Xerocomus chrysenteron sl, incl. bubalinus, cisalpinus, declivitatum, porosporus",438013,https://inaturalist-open-data.s3.amazonaws.com/photos/101576902/medium.jpg,cc-by-nc,"(c) Marco Floriani, some rights reserved (CC BY-NC)",ok,
xestia-c-nigrum,Xestia c-nigrum,1120872,https://inaturalist-open-data.s3.amazonaws.com/photos/260718878/medium.jpeg,cc-by-nc,"(c) joannerusso, some rights reserved (CC BY-NC)",ok,alt from observations
xestia-xanthographa,Xestia xanthographa,48162,https://inaturalist-open-data.s3.amazonaws.com/photos/326158858/medium.jpg,cc-by-nc,"(c) Michał Brzeziński, some rights reserved (CC BY-NC)",ok,
xiphydria-camelus,Xiphydria camelus,775763,https://inaturalist-open-data.s3.amazonaws.com/photos/77212308/medium.jpg,cc0,"no rights reserved",ok,alt from observations
xiphydria-prolongata,Xiphydria prolongata,703313,https://inaturalist-open-data.s3.amazonaws.com/photos/394248238/medium.jpg,cc-by-sa,"(c) Gilles San Martin, some rights reserved (CC BY-SA)",ok,alt from observations
xorides-alpestris,Xorides alpestris,885961,https://inaturalist-open-data.s3.amazonaws.com/photos/418466518/medium.jpeg,cc-by-nc,"(c) kacper, some rights reserved (CC BY-NC)",ok,
xylaria-polymorpha,Xylaria polymorpha,58698,https://inaturalist-open-data.s3.amazonaws.com/photos/48623513/medium.jpeg,cc-by-nc,"(c) jonathan_mack, some rights reserved (CC BY-NC)",ok,alt from observations
xylota-sylvarum,Xylota sylvarum,344019,https://inaturalist-open-data.s3.amazonaws.com/photos/3989646/medium.jpg,cc-by-nc,"(c) Paul Cools, some rights reserved (CC BY-NC)",ok,
xysticus-spec,Xysticus spec.,61903,https://inaturalist-open-data.s3.amazonaws.com/photos/243972412/medium.jpeg,cc-by-nc,"(c) Tom Murray, some rights reserved (CC BY-NC)",ok,
yponomeuta-malinellus,Yponomeuta malinellus,324938,https://inaturalist-open-data.s3.amazonaws.com/photos/164354937/medium.jpg,cc-by-nc,"(c) Andrey Ponomarev, some rights reserved (CC BY-NC)",ok,
yponomeuta-plumbella,Yponomeuta plumbella,324219,https://inaturalist-open-data.s3.amazonaws.com/photos/30362056/medium.jpg,cc-by-nc,"(c) Paolo Mazzei, some rights reserved (CC BY-NC)",ok,
