slug,latin_name,common_name,category,family,genus,observations_count
veronica-catenata,Veronica catenata,Pink Water-Speedwell,plant,Plantaginaceae,Veronica,1
veronica-filiformis,Veronica filiformis,Slender Speedwell,plant,Plantaginaceae,Veronica,1
veronica-longifolia,Veronica longifolia,Garden Speedwell,plant,Plantaginaceae,Veronica,1
veronica-persica,Veronica persica,Common Field-speedwell,plant,Plantaginaceae,Veronica,1
veronicastrum-virginicum,Veronicastrum virginicum,Culver's-root,plant,Plantaginaceae,Veronicastrum,1
vespa-velutina-nigrithorax,Vespa velutina nigrithorax,Asian Hornet ssp. nigrithorax,insect,Vespidae,Vespa,1
vespinae-indet,Vespinae indet.,Hornets and Yellowjackets,other,,,1
vespula-spec,Vespula spec.,Unidentified Yellowjacket,insect,Vespidae,Vespula,1
viburnum-opulus,Viburnum opulus,Guelder-rose,plant,Viburnaceae,Viburnum,1
vicia-sativa,Vicia sativa,Common Vetch,plant,Fabaceae,Vicia,1
volucella-bombylans,Volucella bombylans,Bumblebee Plumehorn,insect,Syrphidae,Volucella,1
xanthorhoe-ferrugata-spadicearia,Xanthorhoe ferrugata / spadicearia,Dark-barred Twin-spot Carpet,insect,Geometridae,Xanthorhoe,1
xanthoria-calcicola,Xanthoria calcicola,limestone sunburst lichen,lichen,Teloschistaceae,Xanthoria,1
xanthostigma-xanthostigma,Xanthostigma xanthostigma,snakefly,insect,Raphidiidae,Xanthostigma,1
xerocomus-chrysenteron-sl-incl-bubalinus-cisalpinus-declivitatum-porosporus,"Xerocomus chrysenteron sl, incl. bubalinus, cisalpinus, declivitatum, porosporus",red cracking bolete,fungus,Boletaceae,Xerocomus,1
xestia-c-nigrum,Xestia c-nigrum,Setaceous Hebrew Character,insect,Noctuidae,Xestia,1
xestia-xanthographa,Xestia xanthographa,Square-spot Rustic,insect,Noctuidae,Xestia,1
xiphydria-camelus,Xiphydria camelus,alder wood wasp,insect,Xiphydriidae,Xiphydria,1
xiphydria-prolongata,Xiphydria prolongata,willow wood wasp,insect,Xiphydriidae,Xiphydria,1
xorides-alpestris,Xorides alpestris,ichneumon wasp,insect,Ichneumonidae,Xorides,1
xylaria-polymorpha,Xylaria polymorpha,dead man's fingers,fungus,Xylariaceae,Xylaria,1
xylota-sylvarum,Xylota sylvarum,Golden-tailed Leafwalker,insect,Syrphidae,Xylota,1
xysticus-spec,Xysticus spec.,Ground Crab Spiders,arachnid,Thomisidae,Xysticus,1
yponomeuta-malinellus,Yponomeuta malinellus,apple ermine moth,insect,Yponomeutidae,Yponomeuta,1
yponomeuta-plumbella,Yponomeuta plumbella,Black-tipped Ermine,insect,Yponomeutidae,Yponomeuta,1
zimmermannia-longicaudella-atrifrontella,Zimmermannia longicaudella / atrifrontella,nepticulid moth,insect,Nepticulidae,Zimmermannia,1
zonitoides-nitidus,Zonitoides nitidus,Black gloss,mollusc,Gastrodontidae,Zonitoides,1
zoropsis-spinimana,Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,arachnid,Zoropsidae,Zoropsis,1
zygoptera-indet,Zygoptera indet.,Damselfly unknown,other,,Zygoptera,1
cedrobium-laportei,Cedrobium laportei,Cedar woolly aphid,insect,Aphididae,Cinara,0
