slug,latin_name,taxon_id,photo_url,photo_license,attribution,status,note
neolecanium-cornuparvum,Neolecanium cornuparvum,507879,https://inaturalist-open-data.s3.amazonaws.com/photos/9035715/medium.jpeg,cc-by-nc,"(c) Chris Poling, some rights reserved (CC BY-NC), uploaded by Chris Poling",ok,
qualitative,qualitative,,,,,skip,abstract/non-species row - no taxon
roosting-garden-birds-in-winter,Roosting garden birds in winter,,,,,skip,abstract/non-species row - no taxon
stomaphis-yanonis-aphididae,"Stomaphis yanonis, Aphididae",1587388,https://inaturalist-open-data.s3.amazonaws.com/photos/444767976/medium.jpeg,cc-by-nc,"(c) Tomioka Masafumi, some rights reserved (CC BY-NC)",ok,
