slug,latin_name,common_name,category,family,genus,observations_count
lamium-purpureum,Lamium purpureum,Red Dead-nettle,plant,Lamiaceae,Lamium,1
laridae-indet,Laridae indet.,Gull or Tern unknown,bird,Laridae,,1
lauritrioza-alacris,Lauritrioza alacris,Bay Sucker,insect,Triozidae,Lauritrioza,1
linum-usitatissimum,Linum usitatissimum,Common Flax,plant,Linaceae,Linum,1
linyphia-hortensis,Linyphia hortensis,Garden Hammock Spider,arachnid,Linyphiidae,Linyphia,1
melanoleuca-verrucipes,Melanoleuca verrucipes,Warty Knight,fungus,Tricholomataceae,Melanoleuca,1
melanotus-spec,Melanotus spec.,Australasian Swamphen,other,,,1
melica-transsilvanica,Melica transsilvanica,Transylvanian melick,plant,Poaceae,Melica,1
muscicapa-striata,Muscicapa striata,Spotted Flycatcher,bird,Muscicapidae,Muscicapa,1
mustelidae-indet,Mustelidae indet.,Mustelid unknown,mammal,Mustelidae,,1
myiopsitta-monachus,Myiopsitta monachus,Monk Parakeet,bird,Psittacidae,Myiopsitta,1
myocastor-coypus,Myocastor coypus,Coypu,mammal,Myocastoridae,Myocastor,1
myosotis-sylvatica,Myosotis sylvatica,Wood Forget-me-not,plant,Boraginaceae,Myosotis,1
oligia-latruncula,Oligia latruncula,Tawny Marbled Minor,insect,Noctuidae,Oligia,1
oncopsis-spec,Oncopsis spec.,birch leafhoppers,insect,Cicadellidae,Oncopsis,1
oncorhynchus-mykiss,Oncorhynchus mykiss,Rainbow Trout,other,Salmonidae,Oncorhynchus,1
onopordum-acanthium-agg,Onopordum acanthium agg.,Scotch Thistle,plant,Asteraceae,Onopordum,1
onopordum-x-beckianum-o-acanthium-x-o-illyricum,Onopordum x beckianum (O. acanthium x O. illyricum),hybrid cotton thistle,plant,Asteraceae,Onopordum,1
ophonus-rufibarbis,Ophonus rufibarbis,red-bearded ground beetle,insect,Carabidae,Ophonus,1
opiliones-indet,Opiliones indet.,Unidentified Harvestman,arachnid,,,1
opomyza-germinationis-petrei,Opomyza germinationis/petrei,grass flies,insect,Opomyzidae,Opomyza,1
orchesella-villosa,Orchesella villosa,Shaggy Springtail,insect,Orchesellidae,Orchesella,1
orchestes-rusci,Orchestes rusci,flea weevil,insect,Curculionidae,Orchestes,1
orientus-ishidae,Orientus ishidae,Japanese Leafhopper,insect,Cicadellidae,Orientus,1
ornithogalum-umbellatum,Ornithogalum umbellatum,Garden Star-of-Bethlehem,plant,Asparagaceae,Ornithogalum,1
orobanche-purpurea,Orobanche purpurea,Yarrow Broomrape,plant,Orobanchaceae,,1
orthonotus-rufifrons,Orthonotus rufifrons,Orthonotus plant bug,insect,Miridae,Orthonotus,1
orthops-basalis,Orthops basalis,Orthops plant bug,insect,Miridae,Orthops,1
orthotylus-marginalis,Orthotylus marginalis,Orthotylus plant bug,insect,Miridae,Orthotylus,1
ostrya-carpinifolia,Ostrya carpinifolia,Hop hornbeam,plant,Betulaceae,Ostrya,1
