slug,latin_name,common_name,category,family,genus,observations_count
tettigonia-viridissima,Tettigonia viridissima,Great Green Bush-cricket,grasshopper,Tettigoniidae,Tettigonia,22
oryctolagus-cuniculus,Oryctolagus cuniculus,European Rabbit,lagomorph,Leporidae,Oryctolagus,11
succinea-putris,Succinea putris,Amber Snail,mollusc,Succineidae,Succinea,7
ambigolimax-valentianus,Ambigolimax valentianus,Greenhouse Slug,mollusc,Limacidae,Ambigolimax,3
erythromma-najas,Erythromma najas,Large Redeye,dragonfly,Coenagrionidae,Erythromma,2
agaricales,Agaricales,Common Gilled Mushrooms and Allies,mushroom,,,1
cepaea-hortensis,Cepaea hortensis,White-lipped Snail,mollusc,Helicidae,Cepaea,1
conocephalus-fuscus,Conocephalus fuscus,Long-winged Conehead,grasshopper,Tettigoniidae,Conocephalus,1
inonotus-hispidus,Inonotus hispidus,Shaggy Bracket,fungus/lichen,Hymenochaetaceae,Inonotus,1
pseudemys-concinna,Pseudemys concinna,River Cooter,turtle,Emydidae,Pseudemys,1
opilio-canestrinii,Opilio canestrinii,Canestrini's Harvestman,spider,Phalangiidae,Opilio,20
textrix-denticulata,Textrix denticulata,Toothed Weaver,spider,Agelenidae,Textrix,11
agelena-labyrinthica,Agelena labyrinthica,Labyrinth spider,spider,Agelenidae,Agelena,4
