slug,latin_name,common_name,category,family,genus,observations_count
ischnura-elegans,Ischnura elegans,Common Bluetail,dragonfly,Coenagrionidae,Ischnura,27
cornu-aspersum,Cornu aspersum,Garden Snail,mollusc,Helicidae,Cornu,12
lissotriton-vulgaris,Lissotriton vulgaris,Smooth Newt,amphibian,Salamandridae,Lissotriton,7
agrocybe-praecox,Agrocybe praecox,Spring Fieldcap,mushroom,Strophariaceae,Agrocybe,3
coprinus-comatus,Coprinus comatus,Shaggy Mane,mushroom,Agaricaceae,Coprinus,2
xeroplexa-intersecta,Xeroplexa intersecta,Wrinkled Snail,mollusc,Geomitridae,Xeroplexa,2
candolleomyces-candolleanus,Candolleomyces candolleanus,Pale Brittlestem,mushroom,Psathyrellaceae,Candolleomyces,1
coenagrion-pulchellum,Coenagrion pulchellum,Variable Bluet,dragonfly,Coenagrionidae,Coenagrion,1
flavoparmelia-caperata,Flavoparmelia caperata,common greenshield lichen,fungus/lichen,Parmeliaceae,Flavoparmelia,1
pelophylax-esculentus,Pelophylax esculentus,Edible Frog,amphibian,Ranidae,Pelophylax,1
xanthoria,Xanthoria,Sunburst Lichens,fungus/lichen,Teloschistaceae,Xanthoria,1
salticus-scenicus,Salticus scenicus,Zebra Spider,spider,Salticidae,Salticus,18
scytodes-thoracica,Scytodes thoracica,Common Spitting Spider,spider,Scytodidae,Scytodes,5
