slug,latin_name,common_name,category,family,genus,observations_count
chorthippus-brunneus,Chorthippus brunneus,Field Grasshopper,grasshopper,Acrididae,Chorthippus,15
cepaea-nemoralis,Cepaea nemoralis,Brown-lipped Snail,mollusc,Helicidae,Cepaea,10
cyprinus-carpio,Cyprinus carpio,European Carp,fish,Cyprinidae,Cyprinus,5
clethrionomys-glareolus,Clethrionomys glareolus,Bank Vole,rodent,Cricetidae,Myodes,3
meconema,Meconema,,grasshopper,Tettigoniidae,Meconema,2
arion,Arion,Arion Slugs,mollusc,Arionidae,Arion,1
chorthippus,Chorthippus,Eurasian Field Grasshoppers,grasshopper,Acrididae,Chorthippus,1
cypriniformes,Cypriniformes,"Minnows, Suckers, Carps, and Loaches",fish,,,1
meconema-meridionale,Meconema meridionale,Southern Oak Bush-cricket,grasshopper,Tettigoniidae,Meconema,1
rodentia,Rodentia,Rodents,rodent,,,1
araneus-diadematus,Araneus diadematus,Garden Cross Spider,spider,Araneidae,Araneus,19
pholcus-phalangioides,Pholcus phalangioides,Long-bodied Cellar Spider,spider,Pholcidae,Pholcus,7
ixodes-ricinus,Ixodes ricinus,Castor Bean Tick,spider,Ixodidae,Ixodes,4
