slug,latin_name,taxon_group
crabro-peltarius,Crabro peltarius,17
ctenophora-festiva,Ctenophora festiva,18
dichrorampha-petiverella,Dichrorampha petiverella,8
dolichopus-spec,Dolichopus spec.,18
ecnomus-tenellus,Ecnomus tenellus,6
elateridae-indet,Elateridae indet.,16
empoasca-spec,Empoasca spec.,15
enoplognatha-spec,Enoplognatha spec.,13
ethmia-quadrillella,Ethmia quadrillella,8
grypocoris-sexguttatus,Grypocoris sexguttatus,15
harpalus-spec,Harpalus spec.,16
heliophanus-spec,Heliophanus spec.,13
hemicrepidius-niger,Hemicrepidius niger,16
heterocerus-spec,Heterocerus spec.,16
holopyga-generosa,Holopyga generosa,17
julidae-indet,Julidae indet.,13
kleidocerys-resedae,Kleidocerys resedae,15
lathronympha-strigana,Lathronympha strigana,8
limoniidae-indet,Limoniidae indet.,18
macrosiphini,Macrosiphini,Insecta
metzneria-lappella,Metzneria lappella,8
mompha-ochraceella,Mompha ochraceella,8
muscidae-indet,Muscidae indet.,18
palloptera-muliebris,Palloptera muliebris,18
phycitodes-binaevella,Phycitodes binaevella,8
ptychoptera-contaminata,Ptychoptera contaminata,18
rubus-sect-corylifolii-rubus-sect-rubus,Rubus sect. Corylifolii + Rubus sect. Rubus,10
scymnus-interruptus,Scymnus interruptus,16
stenarella-domator,Stenarella domator,17
synageles-spec,Synageles spec.,13
trombidiidae-indet,Trombidiidae indet.,13
acrobasis-repandana,Acrobasis repandana,8
adrastus-pallens,Adrastus pallens,16
agaricus-augustus,Agaricus augustus,11
agromyza-reptans-pseudoreptans,Agromyza reptans/pseudoreptans,18
amaurobius-spec,Amaurobius spec.,13
amauromyza-verbasci,Amauromyza verbasci,18
anelosimus-vittatus,Anelosimus vittatus,13
anomaloninae-indet,Anomaloninae indet.,17
anomoia-purmunda,Anomoia purmunda,18
aphidinae,Aphidinae,Insecta
archarius-crux,Archarius crux,16
argyresthia-pygmaeella,Argyresthia pygmaeella,8
ascobolus-brantophilus,Ascobolus brantophilus,11
blepharipa-pratensis,Blepharipa pratensis,18
bolboschoenus-laticarpus,Bolboschoenus laticarpus,10
brachmia-blandella,Brachmia blandella,8
caliothrips,Caliothrips,Insecta
caloptilia-stigmatella,Caloptilia stigmatella,8
centaurea-cyanus-cultivar,Centaurea cyanus (cultivar),10
chromatomyia-primulae,Chromatomyia primulae,18
chrysotus-spec,Chrysotus spec.,18
cloeon-dipterum,Cloeon dipterum,6
cryptocephalus-ocellatus,Cryptocephalus ocellatus,16
ctenophora-pectinicornis,Ctenophora pectinicornis,18
culex-pipiens-torrentium,Culex pipiens / torrentium,18
dasineura-urticae,Dasineura urticae,18
deutzia,Deutzia,Plantae
dianthus-spec-cultivar,Dianthus spec. (cultivar),10
dicranopalpus-ramosus,Dicranopalpus ramosus,13
dicyphus-errans,Dicyphus errans,15
dolerus-spec,Dolerus spec.,17
dolichopus-claviger,Dolichopus claviger,18
donacaula-forficella,Donacaula forficella,8
ectemnius-cavifrons,Ectemnius cavifrons,17
ectopsocus-petersi,Ectopsocus petersi,6
edwardsiana-geometrica,Edwardsiana geometrica,15
elachista-canapennella,Elachista canapennella,8
empis-livida,Empis livida,18
enicospilus-ramidulus,Enicospilus ramidulus,17
eryngium-bourgatii,Eryngium bourgatii,10
eucosma-campoliliana,Eucosma campoliliana,8
eupithecia-spec,Eupithecia spec.,8
eutonia-barbipes,Eutonia barbipes,18
flavoparmelia-soredians,Flavoparmelia soredians,12
fomoria-septembrella,Fomoria septembrella,8
gammarus-tigrinus,Gammarus tigrinus,13
ganoderma-lipsiense,Ganoderma lipsiense,11
gastrolepta-anthracina,Gastrolepta anthracina,18
grapholita-janthinana,Grapholita janthinana,8
gymnochiromyia,Gymnochiromyia,Insecta
harpella-forficella,Harpella forficella,8
hercostomus-nigriplantis,Hercostomus nigriplantis,18
hypericum-androsaemum-hypericum-hircinum-hypericum-x-inodorum,Hypericum androsaemum + Hypericum hircinum + Hypericum x inodorum,10
iassus-lanio,Iassus lanio,15
iassus-scutellaris,Iassus scutellaris,15
icius-spec,Icius spec.,13
kalama-tricornis,Kalama tricornis,15
lamiastrum-galeobdolon-subsp-argentatum,Lamiastrum galeobdolon subsp. argentatum,10
leccinum-scabrum-sl-incl-cyaneobasileucum-melaneum-schistophilum-variicolor,"Leccinum scabrum sl, incl. cyaneobasileucum, melaneum, schistophilum, variicolor",11
lindneromyia-dorsalis,Lindneromyia dorsalis,18
liophloeus-tessulatus,Liophloeus tessulatus,16
lithobius-spec,Lithobius spec.,13
lozotaeniodes-formosana,Lozotaeniodes formosana,8
lygocoris-pabulinus,Lygocoris pabulinus,15
macrocentrus-spec,Macrocentrus spec.,17
macrophya-montana,Macrophya montana,17
malus-x-domestica,Malus x domestica,10
meconema,Meconema,Insecta
megaloceroea-recticornis,Megaloceroea recticornis,15
megalocoleus-molliculus,Megalocoleus molliculus,15
melanomya-nana,Melanomya nana,18
microlinyphia-pusilla,Microlinyphia pusilla,13
micromus-variegatus,Micromus variegatus,6
mystacides-nigra,Mystacides nigra,6
nemotelus-pantherinus,Nemotelus pantherinus,18
neoascia-spec,Neoascia spec.,18
nephrotoma-cornicina,Nephrotoma cornicina,18
neurotoma-saltuum,Neurotoma saltuum,17
oegoconia-deauratella,Oegoconia deauratella,8
oxybelus-bipunctatus,Oxybelus bipunctatus,17
palloptera-ustulata,Palloptera ustulata,18
panaeolina-foenisecii,Panaeolina foenisecii,11
parasola-plicatilis-sl-incl-galericuliformis-hercules-kuehneri-leiocephala-megasperma-schroeteri,"Parasola plicatilis sl, incl. galericuliformis, hercules, kuehneri, leiocephala, megasperma, schroeteri",11
pemphredon-spec,Pemphredon spec.,17
phaonia-spec,Phaonia spec.,18
philodromus-aureolus,Philodromus aureolus,Arachnida
philosepedon-spec,Philosepedon spec.,18
phycitodes-spec,Phycitodes spec.,8
physcia-adscendens,Physcia adscendens,12
physconia-grisea,Physconia grisea,12
phytocoris-ulmi,Phytocoris ulmi,15
phytomyza-senecionis,Phytomyza senecionis,18
pinalitus-cervinus,Pinalitus cervinus,15
plagiognathus-arbustorum,Plagiognathus arbustorum,15
plagiognathus-chrysanthemi,Plagiognathus chrysanthemi,15
platypalpus-spec,Platypalpus spec.,18
pontania-proxima,Pontania proxima,17
rhogogaster-spec,Rhogogaster spec.,17
rilaena-triangularis,Rilaena triangularis,13
rivellia-syngenesiae,Rivellia syngenesiae,18
scoparia-basistrigalis,Scoparia basistrigalis,8
segestria-bavarica,Segestria bavarica,13
sisyra-nigra,Sisyra nigra,6
sphaeroderma-testaceum,Sphaeroderma testaceum,16
stenodema-laevigata,Stenodema laevigata,15
stenopelmus-rufinasus,Stenopelmus rufinasus,16
stenotus-binotatus,Stenotus binotatus,15
sylvicola-spec,Sylvicola spec.,18
symmorphus-spec,Symmorphus spec.,17
syrphini,Syrphini,Insecta
tephritis-neesii,Tephritis neesii,18
tillus-elongatus,Tillus elongatus,16
