slug,latin_name,taxon_group
pammene-fasciana,Pammene fasciana,8
pammene-regiana,Pammene regiana,8
pamphilius-inanitus,Pamphilius inanitus,17
panimerus-spec,Panimerus spec.,18
papaver-rhoeas-cultivar,Papaver rhoeas (cultivar),10
parachronistis-albiceps,Parachronistis albiceps,8
paracorymbia-fulva,Paracorymbia fulva,16
parhelophilus-spec,Parhelophilus spec.,18
passaloecus-corniger,Passaloecus corniger,17
passaloecus-spec,Passaloecus spec.,17
pediasia-contaminella,Pediasia contaminella,8
pediopsis-tiliae,Pediopsis tiliae,15
periclista-spec,Periclista spec.,17
peripsychoda-auriculata,Peripsychoda auriculata,18
peripsychoda-spec,Peripsychoda spec.,18
perovskia-abrotanoides,Perovskia abrotanoides,10
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,10
phania-funesta,Phania funesta,18
pherbellia-cinerella,Pherbellia cinerella,Insecta
philodromus-albidus,Philodromus albidus,Arachnida
phoridae-indet,Phoridae indet.,18
phycita-roborella,Phycita roborella,8
phyllocoptes-eupadi,Phyllocoptes eupadi,13
phyllonorycter-muelleriella,Phyllonorycter muelleriella,8
phyllosticta-cruenta,Phyllosticta cruenta,11
phytocoris-varipes,Phytocoris varipes,15
phytomyza,Phytomyza,Insecta
phytomyza-aquilegiae,Phytomyza aquilegiae,18
phytomyza-lappae,Phytomyza lappae,18
phytomyza-spondylii-pastinacae,Phytomyza spondylii + pastinacae,18
phytoptus-abnormis,Phytoptus abnormis,13
pieris-rapae-napi,Pieris rapae/napi,4
pimpla-rufipes,Pimpla rufipes,17
piniphila-bifasciana,Piniphila bifasciana,8
pipunculidae-indet,Pipunculidae indet.,18
piratula-latitans,Piratula latitans,13
pithanus-maerkelii,Pithanus maerkelii,15
plagiosterna-aenea,Plagiosterna aenea,16
planariidae,Planariidae,Animalia
plateumaris-bracata,Plateumaris bracata,Insecta
platyptilia-gonodactyla,Platyptilia gonodactyla,8
plectosphaerella-alismatis,Plectosphaerella alismatis,11
pneumia-nubila-trivialis,Pneumia nubila/trivialis,18
polypodium-interjectum-polypodium-vulgare,Polypodium interjectum + Polypodium vulgare,10
pompilus-cinereus,Pompilus cinereus,17
populus-nigra-italica,Populus nigra 'Italica',10
primula-bulleyana-bulleyana,Primula bulleyana bulleyana,Plantae
pristiphora-pallidiventris,Pristiphora pallidiventris,17
procambarus,Procambarus,Animalia
proteroiulus-fuscus,Proteroiulus fuscus,13
protomyces-macrosporus,Protomyces macrosporus,11
psyllopsis-spec,Psyllopsis spec.,15
pterostichus-niger,Pterostichus niger,16
pterostichus-spec,Pterostichus spec.,16
puccinia-aegopodii,Puccinia aegopodii,11
puccinia-allii,Puccinia allii,11
rabdophaga-rosaria,Rabdophaga rosaria,18
ranunculus-lanuginosus,Ranunculus lanuginosus,10
rhadinoceraea-micans,Rhadinoceraea micans,17
rhagoletis-alternata,Rhagoletis alternata,18
rhantus-suturalis,Rhantus suturalis,16
rhaphium-spec,Rhaphium spec.,18
rhembobius-perscrutator,Rhembobius perscrutator,17
rhogogaster-viridis-s-l,Rhogogaster viridis s.l.,17
rhopalus-subrufus,Rhopalus subrufus,15
sambucus-nigra-laciniata,Sambucus nigra 'Laciniata',10
sarcophagidae-indet,Sarcophagidae indet.,18
sawadaea-bicornis,Sawadaea bicornis,11
sciapus-platypterus,Sciapus platypterus,18
sciota-rhenella,Sciota rhenella,8
scolopostethus-decoratus,Scolopostethus decoratus,15
scoparia-basistrigalis-ambigualis,Scoparia basistrigalis/ambigualis,8
scraptiidae-indet,Scraptiidae indet.,16
scymnus-schmidti-gr,Scymnus schmidti-gr,16
sedum-pallidum,Sedum pallidum,10
seioptera-vibrans,Seioptera vibrans,18
sepsis-spec,Sepsis spec.,18
sphaeroderma-spec,Sphaeroderma spec.,16
sphaeromias-spec,Sphaeromias spec.,18
sphecodes-albilabris,Sphecodes albilabris,17
sphecodes-spec,Sphecodes spec.,17
spintherophyta,Spintherophyta,Insecta
splanchnonema-platani,Splanchnonema platani,11
stemonitis-axifera,Stemonitis axifera,Protozoa
stenolophus-mixtus,Stenolophus mixtus,16
stevenia-deceptoria,Stevenia deceptoria,18
stricticollis-tobias,Stricticollis tobias,16
stropharia-rugosoannulata,Stropharia rugosoannulata,11
suillia-spec,Suillia spec.,18
swammerdamia-pyrella,Swammerdamia pyrella,8
symmorphus-crassicornis,Symmorphus crassicornis,17
symplecta-stictica,Symplecta stictica,18
tachycixius-pilosus,Tachycixius pilosus,15
tachydromia,Tachydromia,Insecta
tachysphex-pompiliformis,Tachysphex pompiliformis,17
tagetes-spec,Tagetes spec.,10
tasgius,Tasgius,Insecta
tegenaria-parietina,Tegenaria parietina,13
tegenaria-spec,Tegenaria spec.,13
tenthredo-spec,Tenthredo spec.,17
tephritis,Tephritis,Insecta
terellia-tussilaginis,Terellia tussilaginis,18
tetraneura-ulmi,Tetraneura ulmi,15
tetrix-spec,Tetrix spec.,14
thaumatomyia-spec,Thaumatomyia spec.,18
thelaira-nigripes,Thelaira nigripes,18
thera-britannica-variata,Thera britannica / variata,8
thereva-cinifera,Thereva cinifera,18
tinea-pellionella,Tinea pellionella,8
tinocallis,Tinocallis,Insecta
tiphia-minuta,Tiphia minuta,17
tipula-fascipennis,Tipula fascipennis,18
tipula-lunata,Tipula lunata,18
tipula-paludosa-oleracea,Tipula paludosa/oleracea,18
tremulicerus-tremulae,Tremulicerus tremulae,15
tremulicerus-vitreus,Tremulicerus vitreus,15
trifolieae,Trifolieae,Plantae
trifolium-rubens,Trifolium rubens,10
trupanea-stellata,Trupanea stellata,18
turritella-socordia,Turritella socordia,7
vespinae-indet,Vespinae indet.,17
xantholinus,Xantholinus,Insecta
xanthorhoe-ferrugata-spadicearia,Xanthorhoe ferrugata / spadicearia,8
xanthoria-calcicola,Xanthoria calcicola,12
xanthostigma-xanthostigma,Xanthostigma xanthostigma,6
xerocomus-chrysenteron-sl-incl-bubalinus-cisalpinus-declivitatum-porosporus,"Xerocomus chrysenteron sl, incl. bubalinus, cisalpinus, declivitatum, porosporus",11
xiphydria-camelus,Xiphydria camelus,17
xiphydria-prolongata,Xiphydria prolongata,17
xorides-alpestris,Xorides alpestris,17
xylaria-polymorpha,Xylaria polymorpha,11
xyleborinus,Xyleborinus,Insecta
xysticus-spec,Xysticus spec.,13
yponomeuta-malinellus,Yponomeuta malinellus,8
yponomeuta-plumbella,Yponomeuta plumbella,8
zimmermannia-longicaudella-atrifrontella,Zimmermannia longicaudella / atrifrontella,8
zoropsis-spinimana,Zoropsis spinimana,13
Abelia,Abelia,""
Abies,Abies,""
Acer,Acer,""
Aesculus,Aesculus,""
Ailanthus,Ailanthus,""
Albizia,Albizia,""
Alnus,Alnus,""
Amelanchier,Amelanchier,""
Aralia,Aralia,""
Araucaria,Araucaria,""
Arbutus,Arbutus,""
Asimina,Asimina,""
Berberis,Berberis,""
Betula,Betula,""
Broussonetia,Broussonetia,""
Buxus,Buxus,""
Calocedrus,Calocedrus,""
Carpinus,Carpinus,""
Carya,Carya,""
Castanea,Castanea,""
Catalpa,Catalpa,""
Cedrus,Cedrus,""
Celtis,Celtis,""
Cephalotaxus,Cephalotaxus,""
Cercidiphyllum,Cercidiphyllum,""
Cercis,Cercis,""
Chaenomeles,Chaenomeles,""
Chamaecyparis,Chamaecyparis,""
Chimonanthus,Chimonanthus,""
Chionanthus,Chionanthus,""
Chitalpa,Chitalpa,""
Choisya,Choisya,""
Cladrastis,Cladrastis,""
Clerodendrum,Clerodendrum,""
Clethra,Clethra,""
Cornus,Cornus,""
Corylopsis,Corylopsis,""
Corylus,Corylus,""
Cotinus,Cotinus,""
Cotoneaster,Cotoneaster,""
Crataegus,Crataegus,""
Crataemespilus,Crataemespilus,""
Cryptomeria,Cryptomeria,""
Cudrania,Cudrania,""
Cunninghamia,Cunninghamia,""
Cupressocyparis,Cupressocyparis,""
Cupressus,Cupressus,""
Cyclocarya,Cyclocarya,""
Cydonia,Cydonia,""
Davidia,Davidia,""
Diospyros,Diospyros,""
Dipelta,Dipelta,""
Elaeagnus,Elaeagnus,""
Emmenopterys,Emmenopterys,""
Eriobotrya,Eriobotrya,""
Eucommia,Eucommia,""
Euonymus,Euonymus,""
Fagus,Fagus,""
Ficus,Ficus,""
Firmiana,Firmiana,""
Fothergilla,Fothergilla,""
Frangula,Frangula,""
Fraxinus,Fraxinus,""
Ginkgo,Ginkgo,""
Gleditsia,Gleditsia,""
Glyptostrobus,Glyptostrobus,""
Gymnocladus,Gymnocladus,""
Halesia,Halesia,""
Hamamelis,Hamamelis,""
Heptacodium,Heptacodium,""
Hibiscus,Hibiscus,""
Hippophae,Hippophae,""
Hydrangea,Hydrangea,""
Idesia,Idesia,""
Ilex,Ilex,""
Itea,Itea,""
Juglans,Juglans,""
Juniperus,Juniperus,""
Kalopanax,Kalopanax,""
Koelreuteria,Koelreuteria,""
Kolkwitzia,Kolkwitzia,""
Laburnum,Laburnum,""
Lagerstroemia,Lagerstroemia,""
Larix,Larix,""
Leucothoe,Leucothoe,""
Leycesteria,Leycesteria,""
Ligustrum,Ligustrum,""
Liquidambar,Liquidambar,""
Liriodendron,Liriodendron,""
Maackia,Maackia,""
Magnolia,Magnolia,""
Mahonia,Mahonia,""
Malus,Malus,""
Meliosma,Meliosma,""
Mespilus,Mespilus,""
Metasequoia,Metasequoia,""
Morus,Morus,""
Nandina,Nandina,""
Nothofagus,Nothofagus,""
Nyssa,Nyssa,""
Oemleria,Oemleria,""
Olea,Olea,""
Osmanthus,Osmanthus,""
Ostrya,Ostrya,""
Parrotia,Parrotia,""
Parrotiopsis,Parrotiopsis,""
Paulownia,Paulownia,""
Phellodendron,Phellodendron,""
Photinia,Photinia,""
Physocarpus,Physocarpus,""
Picea,Picea,""
Picrasma,Picrasma,""
Pinus,Pinus,""
Planera,Planera,""
Platanus,Platanus,""
Platycladus,Platycladus,""
Podocarpus,Podocarpus,""
Poncirus,Poncirus,""
Populus,Populus,""
Prunus,Prunus,""
Pseudolarix,Pseudolarix,""
Pseudopanax,Pseudopanax,""
Pseudotsuga,Pseudotsuga,""
Ptelea,Ptelea,""
Pterocarya,Pterocarya,""
Pterostyrax,Pterostyrax,""
Pyrus,Pyrus,""
Quercus,Quercus,""
Rhamnus,Rhamnus,""
Rhododendron,Rhododendron,""
Rhus,Rhus,""
Robinia,Robinia,""
Rosa,Rosa,""
Salix,Salix,""
Sambucus,Sambucus,""
Sarcococca,Sarcococca,""
Sassafras,Sassafras,""
Sciadopitys,Sciadopitys,""
Sequoia,Sequoia,""
Sequoiadendron,Sequoiadendron,""
Skimmia,Skimmia,""
Sorbus,Sorbus,""
Staphylea,Staphylea,""
Stewartia,Stewartia,""
Styphnolobium,Styphnolobium,""
Styrax,Styrax,""
Sycoparrotia,Sycoparrotia,""
Symplocos,Symplocos,""
Syringa,Syringa,""
Tamarix,Tamarix,""
Taxodium,Taxodium,""
Taxus,Taxus,""
Tetracentron,Tetracentron,""
Tetradium,Tetradium,""
Thuja,Thuja,""
Thujopsis,Thujopsis,""
Tilia,Tilia,""
Toona,Toona,""
Torreya,Torreya,""
Trachycarpus,Trachycarpus,""
Tsuga,Tsuga,""
Ulmus,Ulmus,""
Viburnum,Viburnum,""
Weigela,Weigela,""
Zanthoxylum,Zanthoxylum,""
Zelkova,Zelkova,""
Ziziphus,Ziziphus,""
