slug,latin_name,taxon_group,common_name,observations_count
mystacides-longicornis,Mystacides longicornis,6,Grouse wing,19
phalacrocorax-carbo,Phalacrocorax carbo,1,Great Cormorant,19
philodromus-spec,Philodromus spec.,13,"",19
polycarpon-tetraphyllum,Polycarpon tetraphyllum,10,Four-leaved Allseed,19
polydrusus-formosus,Polydrusus formosus,16,Green Immigrant Leaf Weevil,19
alcea-rosea,Alcea rosea,Plantae,Hollyhock,18
artemisia-vulgaris,Artemisia vulgaris,10,Mugwort,18
chenopodium-album,Chenopodium album,10,Lamb's Quarters,18
hypochaeris-radicata,Hypochaeris radicata,10,Cat's-ear,18
idaea-seriata,Idaea seriata,8,Small Dusty Wave,18
lapsana-communis,Lapsana communis,10,Nipplewort,18
potentilla-indica,Potentilla indica,10,Yellow-flowered Strawberry,18
salticus-scenicus,Salticus scenicus,13,Zebra Spider,18
aegithalos-caudatus,Aegithalos caudatus,1,Long-tailed Tit,17
centaurea-jacea,Centaurea jacea,10,Brown Knapweed,17
idaea-fuscovenosa,Idaea fuscovenosa,8,Dwarf Cream Wave,17
jacobaea-vulgaris,Jacobaea vulgaris,10,Common Ragwort,17
lythrum-salicaria,Lythrum salicaria,10,Purple Loosestrife,17
meconema-spec,Meconema spec.,14,"",17
axylia-putris,Axylia putris,8,Flame,16
camptogramma-bilineata,Camptogramma bilineata,8,Yellow Shell,16
crambus-pascuella,Crambus pascuella,8,"",16
falco-peregrinus,Falco peregrinus,1,Peregrine Falcon,16
lotus-corniculatus,Lotus corniculatus,10,Common Bird's-foot-trefoil,16
lucilia-spec,Lucilia spec.,18,"",16
polistes-dominula,Polistes dominula,17,European Paper Wasp,16
porcellio-scaber,Porcellio scaber,13,Common Rough Woodlouse,16
stachys-sylvatica,Stachys sylvatica,10,Hedge Woundwort,16
vicia-cracca,Vicia cracca,10,Tufted Vetch,16
yponomeuta-spec,Yponomeuta spec.,8,"",16
aegopodium-podagraria,Aegopodium podagraria,10,Ground-elder,15
chorthippus-brunneus,Chorthippus brunneus,14,Field Grasshopper,15
clepsis-dumicolana,Clepsis dumicolana,8,"",15
deraeocoris-ruber,Deraeocoris ruber,15,Red Bug,15
eupeodes-corollae,Eupeodes corollae,18,Migrant Aphideater,15
hemithea-aestivaria,Hemithea aestivaria,8,Common Emerald,15
heracleum-mantegazzianum,Heracleum mantegazzianum,10,Giant Hogweed,15
mycelis-muralis,Mycelis muralis,10,Wall Lettuce,15
oligia-spec,Oligia spec.,8,Minor unknown,15
pararge-aegeria,Pararge aegeria,4,Speckled Wood,15
peribatodes-rhomboidaria,Peribatodes rhomboidaria,8,Willow Beauty,15
rhagonycha-fulva,Rhagonycha fulva,16,Common Red Soldier Beetle,15
rumex-obtusifolius,Rumex obtusifolius,10,Broad-leaved Dock,15
verbascum-nigrum,Verbascum nigrum,10,Dark Mullein,15
aeshna-isoceles,Aeshna isoceles,5,Green-eyed Hawker,14
berteroa-incana,Berteroa incana,10,Hoary Alison,14
chironomidae-indet,Chironomidae indet.,18,Unidentified Non-biting Midge,14
closterotomus-trivialis,Closterotomus trivialis,15,trivial plant bug,14
geum-urbanum,Geum urbanum,10,Wood Avens,14
harmonia-axyridis-f-spectabilis,Harmonia axyridis f. spectabilis,16,Harlequin Ladybird f. spectabilis,14
lagria-spec,Lagria spec.,16,"",14
mythimna-impura,Mythimna impura,8,Smoky Wainscot,14
oedemera-nobilis,Oedemera nobilis,16,Swollen-thighed Beetle,14
oenothera-spec,Oenothera spec.,10,Evening primrose unknown,14
otiorhynchus-sulcatus,Otiorhynchus sulcatus,16,Black Vine Weevil,14
propylea-quatuordecimpunctata,Propylea quatuordecimpunctata,16,14-spot Ladybird,14
psyllobora-vigintiduopunctata,Psyllobora vigintiduopunctata,16,22-spot Ladybird,14
riparia-riparia,Riparia riparia,1,Sand Martin,14
sicus-ferrugineus,Sicus ferrugineus,18,Ferruginous Bee-grabber,14
sphaerophoria-spec,Sphaerophoria spec.,18,"",14
stachys-palustris,Stachys palustris,10,Marsh Woundwort,14
acer-pseudoplatanus,Acer pseudoplatanus,10,Sycamore,13
altica-spec,Altica spec.,16,"",13
andrena-bicolor,Andrena bicolor,17,Gwynne's Mining Bee,13
anthrax-anthrax,Anthrax anthrax,18,Anthracite Bee-fly,13
coenagrion-puella,Coenagrion puella,5,Azure Bluet,13
coleophora-spec,Coleophora spec.,8,"",13
cygnus-olor,Cygnus olor,1,Mute Swan,13
gasteruption-spec,Gasteruption spec.,17,Carrot Wasp unknown,13
geranium-robertianum,Geranium robertianum,10,Herb-Robert,13
hypericum-perforatum,Hypericum perforatum,10,Perforate St John's-wort,13
idaea-rusticata,Idaea rusticata,8,Least Carpet,13
limnephilus-marmoratus,Limnephilus marmoratus,6,Cinnamon sedge,13
linaria-vulgaris,Linaria vulgaris,10,Common Toadflax,13
lomaspilis-marginata,Lomaspilis marginata,8,Clouded Border,13
mareca-strepera,Mareca strepera,1,Gadwall,13
microlepidoptera-indet,Microlepidoptera indet.,8,Unidentified micro moth,13
nephrotoma-quadrifaria,Nephrotoma quadrifaria,18,four-spotted cranefly,13
pentatoma-rufipes,Pentatoma rufipes,15,Red-legged Shieldbug,13
sisymbrium-officinale,Sisymbrium officinale,10,Hedge Mustard,13
zygaena-filipendulae,Zygaena filipendulae,8,Six-spot Burnet,13
