slug,latin_name,taxon_group,common_name,observations_count
aglossa-pinguinalis,Aglossa pinguinalis,8,"",5
agraylea-spec,Agraylea spec.,6,"",5
agrimonia-eupatoria,Agrimonia eupatoria,10,Agrimony,5
allium-vineale,Allium vineale,10,Wild Onion,5
anacampsis-blattariella,Anacampsis blattariella,8,"",5
anchusa-officinalis,Anchusa officinalis,10,Alkanet,5
angelica-archangelica,Angelica archangelica,10,Garden Angelica,5
anthocoris-nemorum,Anthocoris nemorum,15,Common flowerbug,5
antirrhinum-majus,Antirrhinum majus,10,Snapdragon,5
archips-xylosteana,Archips xylosteana,8,Variegated Golden Tortrix,5
arctium-minus,Arctium minus,10,Common Burdock,5
ballota-nigra,Ballota nigra,10,Black Horehound,5
batia-lunaris,Batia lunaris,8,Lesser Tawny Crescent,5
butomus-umbellatus,Butomus umbellatus,10,Flowering-rush,5
cacoecimorpha-pronubana,Cacoecimorpha pronubana,8,Carnation Tortix,5
calamotropha-paludella,Calamotropha paludella,8,"",5
calliphora-spec,Calliphora spec.,18,"",5
campyloneura-virgula,Campyloneura virgula,15,"",5
carex-pendula,Carex pendula,Plantae,Hanging sedge,5
carpatolechia-fugitivella,Carpatolechia fugitivella,8,"",5
clogmia-albipunctata,Clogmia albipunctata,18,"",5
colletes-fodiens,Colletes fodiens,17,Hairy-saddled Colletes,5
conocephalus-spec,Conocephalus spec.,14,"",5
corixidae-indet,Corixidae indet.,15,Water boatman,5
crabronidae-indet,Crabronidae indet.,17,Crabronid wasp unknown (Crabronidae),5
ctenolepisma-longicaudatum,Ctenolepisma longicaudatum,6,Gray Silverfish,5
cuculus-canorus,Cuculus canorus,1,Common Cuckoo,5
cyprinus-carpio,Cyprinus carpio,Actinopterygii,European Carp,5
deilephila-elpenor,Deilephila elpenor,8,Elephant Hawk-moth,5
demeijerea-rufipes,Demeijerea rufipes,18,"",5
dianthus-carthusianorum,Dianthus carthusianorum,10,Carthusian Pink,5
dianthus-giganteus,Dianthus giganteus,10,"",5
dioctria-hyalipennis,Dioctria hyalipennis,18,"",5
elymus-repens,Elymus repens,10,Common Couch,5
epilobium-spec,Epilobium spec.,10,Willowherb unknown,5
erigeron-annuus,Erigeron annuus,10,Tall Fleabane,5
fallopia-japonica,Fallopia japonica,10,Japanese Knotweed,5
forficula-auricularia-gr,Forficula auricularia-gr.,6,Common Earwig,5
galium-aparine,Galium aparine,10,Cleavers,5
gelechiidae-indet,Gelechiidae indet.,8,"",5
habrosyne-pyritoides,Habrosyne pyritoides,8,Buff Arches,5
harmonia-axyridis-f-conspicua,Harmonia axyridis f. conspicua,16,Harlequin ladybird f. conspicua,5
herminia-tarsipennalis,Herminia tarsipennalis,8,Fan-foot,5
hoplodrina-ambigua,Hoplodrina ambigua,8,Vine's Rustic,5
hydrangea-macrophylla,Hydrangea macrophylla,Plantae,mophead hydrangea,5
hygromia-cinctella,Hygromia cinctella,7,Girdled Snail,5
hypsopygia-glaucinalis,Hypsopygia glaucinalis,8,Double-striped Tabby,5
idaea-dimidiata,Idaea dimidiata,8,Single-dotted Wave,5
iris-pseudacorus,Iris pseudacorus,10,Yellow Iris,5
juglans-regia,Juglans regia,10,Persian walnut,5
knautia-arvensis,Knautia arvensis,10,Field Scabious,5
lateroligia-ophiogramma,Lateroligia ophiogramma,8,Double Lobed,5
lepidium-ruderale,Lepidium ruderale,10,Narrow-leaved Pepperwort,5
leptocerus-tineiformis,Leptocerus tineiformis,6,"",5
limax-maximus,Limax maximus,7,Leopard Slug,5
lysimachia-vulgaris,Lysimachia vulgaris,10,Yellow Loosestrife,5
melanostoma-scalare,Melanostoma scalare,18,Long-winged Duskyface,5
mentha-aquatica,Mentha aquatica,10,Water Mint,5
mompha-epilobiella,Mompha epilobiella,8,"",5
noctua-fimbriata,Noctua fimbriata,8,Broad-bordered Yellow Underwing,5
notocelia-uddmanniana,Notocelia uddmanniana,8,"",5
ocypus-olens,Ocypus olens,16,Devil's Coach-horse,5
oligia-strigilis,Oligia strigilis,8,Marbled Minor,5
pandemis-heparana,Pandemis heparana,8,Dark Fruit-tree Tortrix,5
pastinaca-sativa,Pastinaca sativa,10,Wild Parsnip,5
persicaria-lapathifolia-persicaria-maculosa,Persicaria lapathifolia + Persicaria maculosa,10,"",5
phyllobius-pomaceus,Phyllobius pomaceus,16,Nettle weevil,5
phyllonorycter-quinqueguttella,Phyllonorycter quinqueguttella,8,Sandhill midget,5
pieris-mannii,Pieris mannii,4,Southern Small White,5
pieris-rapae-rapae,Pieris rapae rapae,4,Cabbage White,5
polypogon-viridis,Polypogon viridis,10,Water Bent,5
populus-alba,Populus alba,10,White Poplar,5
prunus-cerasifera,Prunus cerasifera,10,Cherry Plum,5
rhinanthus-minor,Rhinanthus minor,10,Yellow-rattle,5
robinia-pseudoacacia,Robinia pseudoacacia,10,False-acacia,5
rorippa-sylvestris,Rorippa sylvestris,10,Creeping Yellow cress,5
scathophaga-stercoraria,Scathophaga stercoraria,18,Yellow Dung Fly,5
scytodes-thoracica,Scytodes thoracica,13,Common Spitting Spider,5
silene-vulgaris,Silene vulgaris,10,Bladder Campion,5
spilosoma-lubricipeda,Spilosoma lubricipeda,8,White Ermine,5
swammerdamia-paraswammerdamia-spec,Swammerdamia/Paraswammerdamia spec.,8,"",5
tanacetum-parthenium,Tanacetum parthenium,10,Feverfew,5
taraxacum-officinale-s-l-incl-all-sect,Taraxacum officinale s.l. (incl. all sect.),10,Common Dandelion,5
teleiodes-vulgella,Teleiodes vulgella,8,"",5
tephritis-bardanae,Tephritis bardanae,18,"",5
thalictrum-flavum,Thalictrum flavum,10,Common Meadow-rue,5
thalictrum-speciosissimum,Thalictrum speciosissimum,10,Yellow Meadow-rue,5
tilia-spec,Tilia spec.,10,Basswood unknown,5
tineola-bisselliella,Tineola bisselliella,8,"",5
trifolium-pratense,Trifolium pratense,10,Red Clover,5
trifolium-repens,Trifolium repens,10,White Clover,5
verbena-bonariensis,Verbena bonariensis,10,Argentinian Vervain,5
xanthorhoe-fluctuata,Xanthorhoe fluctuata,8,Garden Carpet,5
xestia-triangulum,Xestia triangulum,8,Double Square-spot,5
achillea-filipendulina,Achillea filipendulina,10,Fern-leaf Yarrow,4
agelena-labyrinthica,Agelena labyrinthica,13,Labyrinth spider,4
agrostemma-githago,Agrostemma githago,10,Corncockle,4
agrostis-spec,Agrostis spec.,10,Bent grass unknown,4
alnus-glutinosa,Alnus glutinosa,10,Alder,4
anax-imperator,Anax imperator,5,Blue Emperor,4
anisantha-sterilis,Anisantha sterilis,10,Barren Brome,4
anobiidae-indet,Anobiidae indet.,16,"",4
aphrophora-salicina,Aphrophora salicina,15,Willow Spittlebug,4
arctium-lappa,Arctium lappa,10,Greater Burdock,4
arctium-spec,Arctium spec.,10,Burdock unknown,4
atriplex-prostrata,Atriplex prostrata,10,Hastate Orache,4
auricularia-mesenterica,Auricularia mesenterica,11,"",4
brassica-rapa,Brassica rapa,10,Turnip,4
capsella-bursa-pastoris,Capsella bursa-pastoris,10,Shepherd's-purse,4
carabidae-indet,Carabidae indet.,16,Unidentified Ground beetle,4
centaurea-scabiosa,Centaurea scabiosa,10,Greater Knapweed,4
cernuella-virgata,Cernuella virgata,7,Striped Snail,4
chloroclystis-v-ata,Chloroclystis v-ata,8,V-Pug,4
clematis-vitalba,Clematis vitalba,10,Traveller's-joy,4
clubiona-spec,Clubiona spec.,13,Stout Sac Spider unknown,4
cnephaeus-serotinus,Cnephaeus serotinus,2,Serotine,4
colletes-daviesanus-fodiens-similis,Colletes daviesanus/fodiens/similis,17,"",4
consolida-ajacis,Consolida ajacis,10,Eastern Larkspur,4
coprinellus-micaceus,Coprinellus micaceus,11,"",4
corizus-hyoscyami,Corizus hyoscyami,15,Cinnamon bug,4
corylus-avellana,Corylus avellana,10,Common Hazel,4
cosmia-pyralina,Cosmia pyralina,8,Lunar-spotted Pinion,4
dactylorhiza-maculata,Dactylorhiza maculata,Plantae,heath spotted orchid,4
deraeocoris-flavilinea,Deraeocoris flavilinea,15,"",4
dianthus-armeria,Dianthus armeria,10,Deptford Pink,4
dichrorampha-spec,Dichrorampha spec.,8,"",4
dicyphus-epilobii,Dicyphus epilobii,15,"",4
digitaria-sanguinalis,Digitaria sanguinalis,10,Hairy Finger-grass,4
dolycoris-baccarum,Dolycoris baccarum,15,Hairy Shieldbug,4
dryopteris-filix-mas,Dryopteris filix-mas,10,Male-fern,4
ectemnius-spec,Ectemnius spec.,17,"",4
ectropis-crepuscularia,Ectropis crepuscularia,8,Small Engrailed,4
epinotia-abbreviana,Epinotia abbreviana,8,"",4
eratigena-spec,Eratigena spec.,13,"",4
erodium-cicutarium,Erodium cicutarium,10,Common Stork's-bill,4
eucosma-cana,Eucosma cana,8,"",4
geranium-wallichianum,Geranium wallichianum,10,Purple-vein geranium,4
haematopota-pluvialis,Haematopota pluvialis,18,Common Horse Fly,4
halyzia-sedecimguttata,Halyzia sedecimguttata,16,Orange Ladybird,4
heliconius-charithonia,Heliconius charithonia,4,Zebra Heliconian,4
heterotoma-planicornis,Heterotoma planicornis,15,"",4
houttuynia-cordata,Houttuynia cordata,10,Chameleon Plant,4
humulus-lupulus,Humulus lupulus,10,Hop,4
hypena-proboscidalis,Hypena proboscidalis,8,Snout,4
idaea-biselata,Idaea biselata,8,Small Fan-footed Wave,4
ixodes-ricinus,Ixodes ricinus,13,Castor Bean Tick,4
lacanobia-oleracea,Lacanobia oleracea,8,Bright-line Brown-eye,4
lathyrus-sylvestris,Lathyrus sylvestris,10,Narrow-leaved Everlasting-pea,4
leontodon-saxatilis,Leontodon saxatilis,10,Lesser Hawkbit,4
lepidium-didymum,Lepidium didymum,10,Lesser Swine-cress,4
linyphiidae-indet,Linyphiidae indet.,13,"",4
lolium-perenne,Lolium perenne,10,Perennial Rye-grass,4
lomographa-bimaculata,Lomographa bimaculata,8,White-pinion Spotted,4
lunaria-annua,Lunaria annua,10,Annual Honesty,4
lycophotia-porphyrea,Lycophotia porphyrea,8,True Lover's Knot,4
matricaria-discoidea,Matricaria discoidea,10,Pineappleweed,4
medicago-falcata,Medicago falcata,10,Sickle Medick,4
megachile-ericetorum,Megachile ericetorum,17,Banded Mud Bee,4
meliscaeva-auricollis,Meliscaeva auricollis,18,Spotted Thintail,4
myathropa-florea,Myathropa florea,18,Common Batman Fly,4
nephrotoma-spec,Nephrotoma spec.,18,"",4
netta-rufina,Netta rufina,1,Red-crested Pochard,4
notoxus-monoceros,Notoxus monoceros,16,"",4
ochropacha-duplaris,Ochropacha duplaris,8,Common Lutestring,4
oniscus-asellus,Oniscus asellus,13,Common Shiny Woodlouse,4
ononis-spinosa-subsp-procurrens,Ononis spinosa subsp. procurrens,10,Common Restharrow,4
orthotrichia-costalis,Orthotrichia costalis,6,"",4
oxalis-corniculata,Oxalis corniculata,10,Procumbent Yellow-sorrel,4
papilio-machaon,Papilio machaon,4,Swallowtail,4
paraswammerdamia-nebulella,Paraswammerdamia nebulella,8,"",4
pardosa-spec,Pardosa spec.,13,Wolf Spider unknown,4
phalera-bucephala,Phalera bucephala,8,Buff-tip,4
phyllobius-pilicornis,Phyllobius pilicornis,16,"",4
picris-hieracioides,Picris hieracioides,10,Hawkweed Oxtongue,4
pimplinae-indet,Pimplinae indet.,17,"",4
planuncus-tingitanus-s-l,Planuncus tingitanus s.l.,6,"",4
poa-annua,Poa annua,10,Annual Meadow-grass,4
pollenia-spec,Pollenia spec.,18,Cluster Fly unknown,4
populus-x-canadensis-p-deltoides-x-p-nigra,Populus x canadensis (P. deltoides x P. nigra),10,"",4
populus-x-canescens-p-alba-x-p-tremula,Populus x canescens (P. alba x P. tremula),10,Gray poplar,4
prays-ruficeps,Prays ruficeps,8,"",4
prunus-avium,Prunus avium,10,Wild Cherry,4
pulicaria-dysenterica,Pulicaria dysenterica,10,Common Fleabane,4
rana-temporaria,Rana temporaria,3,Common Frog,4
ranunculus-acris,Ranunculus acris,10,Meadow Buttercup,4
ranunculus-repens,Ranunculus repens,10,Creeping Buttercup,4
reseda-lutea,Reseda lutea,10,Wild Mignonette,4
rhagio-tringarius,Rhagio tringarius,18,"",4
rhopalapion-longirostre,Rhopalapion longirostre,16,Hollyhock Weevil,4
rubus-spec,Rubus spec.,10,Blackberry unknown,4
rumex-conglomeratus,Rumex conglomeratus,10,Sharp Dock,4
rumex-hydrolapathum,Rumex hydrolapathum,10,Water Dock,4
rumex-palustris,Rumex palustris,10,Marsh Dock,4
rumex-sanguineus,Rumex sanguineus,10,Wood Dock,4
salvia-microphylla,Salvia microphylla,Plantae,Baby Sage,4
salvia-nemorosa,Salvia nemorosa,10,Balkan Clary,4
sciapus-spec,Sciapus spec.,18,"",4
sciaridae-indet,Sciaridae indet.,18,Unidentified Dark-winged fungus gnat,4
scythris-limbella,Scythris limbella,8,"",4
sedum-acre,Sedum acre,10,Biting Stonecrop,4
sedum-album,Sedum album,10,White Stonecrop,4
silis-ruficollis,Silis ruficollis,16,"",4
solanum-dulcamara,Solanum dulcamara,10,Bittersweet,4
spiraea-japonica,Spiraea japonica,Plantae,Japanese Spirea,4
steatoda-nobilis,Steatoda nobilis,13,Noble False Widow,4
stenagostus-rhombeus,Stenagostus rhombeus,16,"",4
sylvia-borin,Sylvia borin,1,Garden Warbler,4
symmorphus-bifasciatus,Symmorphus bifasciatus,17,"",4
sympetrum-striolatum,Sympetrum striolatum,5,Common Darter,4
taraxacum-officinale,Taraxacum officinale,Plantae,common dandelion,4
tenthredo-scrophulariae,Tenthredo scrophulariae,17,"",4
torymus-spec,Torymus spec.,17,"",4
trichoptera-indet,Trichoptera indet.,6,Caddisfly unknown,4
trifolium-dubium,Trifolium dubium,10,Lesser Trefoil,4
udea-olivalis,Udea olivalis,8,Olive Pearl,4
vulpia-myuros,Vulpia myuros,10,Rat's-tail Fescue,4
xanthogramma-pedissequum,Xanthogramma pedissequum,18,Superb Dayglower,4
zygiella-x-notata,Zygiella x-notata,13,Silver-sided Sector Spider,4
acleris-holmiana,Acleris holmiana,8,"",3
adalia-decempunctata,Adalia decempunctata,16,10-spot Ladybird,3
aeshna-cyanea,Aeshna cyanea,5,Southern Hawker,3
agonopterix-nervosa,Agonopterix nervosa,8,"",3
agrocybe-praecox,Agrocybe praecox,11,Spring Fieldcap,3
agrotis-segetum,Agrotis segetum,8,Turnip Moth,3
aix-sponsa,Aix sponsa,1,Wood Duck,3
alcis-repandata,Alcis repandata,8,Mottled Beauty,3
alisma-plantago-aquatica,Alisma plantago-aquatica,10,Water-plantain,3
ambigolimax-valentianus,Ambigolimax valentianus,7,Greenhouse Slug,3
anax-parthenope,Anax parthenope,5,Lesser Emperor,3
andrena-dorsata,Andrena dorsata,17,Short-fringed Mining Bee,3
anisodactylus-binotatus,Anisodactylus binotatus,16,"",3
anser-anser-domesticus,Anser anser domesticus,Aves,Domestic Greylag Goose,3
anthyllis-vulneraria,Anthyllis vulneraria,10,Kidney Vetch,3
apomyelois-bistriatella,Apomyelois bistriatella,8,"",3
araneae-indet,Araneae indet.,13,Spider unknown,3
araneoidea,Araneoidea,Arachnida,Orbweavers and Allies,3
archips-rosana,Archips rosana,8,Rose Tortrix,3
aristotelia-ericinella,Aristotelia ericinella,8,"",3
arocatus-melanocephalus,Arocatus melanocephalus,15,"",3
artemisia-absinthium,Artemisia absinthium,10,Absinthium,3
asplenium-scolopendrium,Asplenium scolopendrium,10,Hart's-tongue Fern,3
athalia-rosae,Athalia rosae,17,Turnip sawfly,3
athalia-spec,Athalia spec.,17,"",3
baccha-elongata,Baccha elongata,18,Common Dainty,3
bolboschoenus-maritimus,Bolboschoenus maritimus,10,Sea Club-rush,3
braconidae-indet,Braconidae indet.,17,Braconid unknown,3
bromus-hordeaceus,Bromus hordeaceus,10,Soft-brome,3
calliphora-vicina,Calliphora vicina,18,Common Blow Fly,3
caloptilia-semifascia,Caloptilia semifascia,8,"",3
calvia-quatuordecimguttata,Calvia quatuordecimguttata,16,Cream-spot Ladybird,3
campanula-persicifolia,Campanula persicifolia,10,Peach-leaved Bellflower,3
campanula-portenschlagiana,Campanula portenschlagiana,10,Adria Bellflower,3
campanula-poscharskyana,Campanula poscharskyana,10,Trailing Bellflower,3
cataclysta-lemnata,Cataclysta lemnata,8,Small China-mark,3
catalpa-bignonioides,Catalpa bignonioides,10,Indian-bean-tree,3
cerceris-rybyensis,Cerceris rybyensis,Insecta,Ornate-tailed Digger Wasp,3
chaerophyllum-bulbosum,Chaerophyllum bulbosum,10,Bulbous Chervil,3
chamaenerion-angustifolium,Chamaenerion angustifolium,10,Rosebay Willowherb,3
chilo-phragmitella,Chilo phragmitella,8,"",3
chrysis-ignita-gr,Chrysis ignita-gr.,17,Chrysis ignita-group,3
chrysogaster-solstitialis,Chrysogaster solstitialis,18,Dark-winged Wrinklehead,3
chrysoperla-carnea-s-l,Chrysoperla carnea s.l.,6,"",3
cicadella-viridis,Cicadella viridis,Insecta,Green Leafhopper,3
clethrionomys-glareolus,Clethrionomys glareolus,Mammalia,Bank Vole,3
coturnix-coturnix,Coturnix coturnix,1,Common Quail,3
crabro-peltarius,Crabro peltarius,17,"",3
cryptocephalus-moraei,Cryptocephalus moraei,16,hypericum pot beetle,3
ctenophora-festiva,Ctenophora festiva,18,"",3
culicidae-indet,Culicidae indet.,18,Unidentified mosquito,3
cynoglossum-officinale,Cynoglossum officinale,10,Hound's-tongue,3
dactylorhiza-fuchsii,Dactylorhiza fuchsii,Plantae,Common Spotted Orchid,3
dahlia-pinnata,Dahlia pinnata,Plantae,Garden Dahlia,3
daucus-carota-subsp-carota,Daucus carota subsp. carota,10,Wild Carrot,3
dichrorampha-petiverella,Dichrorampha petiverella,8,"",3
dolichopus-spec,Dolichopus spec.,18,"",3
drepana-falcataria,Drepana falcataria,8,Pebble Hook-tip,3
dryas-iulia,Dryas iulia,4,Julia Heliconian,3
ecnomus-tenellus,Ecnomus tenellus,6,"",3
eilema-depressa,Eilema depressa,8,Buff Footman,3
elateridae-indet,Elateridae indet.,16,"",3
emberiza-schoeniclus,Emberiza schoeniclus,1,Common Reed Bunting,3
empoasca-spec,Empoasca spec.,15,"",3
enoplognatha-spec,Enoplognatha spec.,13,"",3
equisetum-arvense,Equisetum arvense,10,Field Horsetail,3
erigeron-karvinskianus,Erigeron karvinskianus,10,Mexican Fleabane,3
erigeron-sumatrensis,Erigeron sumatrensis,10,Guernsey Fleabane,3
eristalis-nemorum,Eristalis nemorum,18,Stripe-faced Drone Fly,3
ethmia-quadrillella,Ethmia quadrillella,8,"",3
eudonia-mercurella,Eudonia mercurella,8,Garden Grey,3
eupeodes-luniger,Eupeodes luniger,18,Lunuled Aphideater,3
euproctis-chrysorrhoea,Euproctis chrysorrhoea,8,Brown-tail,3
fagus-sylvatica,Fagus sylvatica,Plantae,European beech,3
fuligo-septica,Fuligo septica,11,Dog Vomit Slime Mold,3
gandaritis-pyraliata,Gandaritis pyraliata,8,Barred Straw,3
geranium-pyrenaicum,Geranium pyrenaicum,10,Hedgerow Crane's-bill,3
glebionis-segetum,Glebionis segetum,10,Corn Marigold,3
gnaphalium-luteoalbum,Gnaphalium luteoalbum,10,Jersey Cudweed,3
gonyodiscus-rotundatus,Gonyodiscus rotundatus,7,Rounded Snail,3
grypocoris-sexguttatus,Grypocoris sexguttatus,15,"",3
harpalus-spec,Harpalus spec.,16,"",3
hecatera-bicolorata,Hecatera bicolorata,8,Broad-barred White,3
hecatera-dysodea,Hecatera dysodea,8,Small Ranunculus,3
heliophanus-spec,Heliophanus spec.,13,"",3
hemicrepidius-niger,Hemicrepidius niger,16,"",3
heterocerus-spec,Heterocerus spec.,16,"",3
himacerus-mirmicoides,Himacerus mirmicoides,15,Ant Damsel Bug,3
holopyga-generosa,Holopyga generosa,17,"",3
hypericum-x-inodorum-h-androsaemum-x-h-hircinum,Hypericum x inodorum (H. androsaemum x H. hircinum),10,Tall Tutsan,3
hypsopygia-costalis,Hypsopygia costalis,8,Gold Triangle,3
julidae-indet,Julidae indet.,13,"",3
juncus-tenuis,Juncus tenuis,10,Slender Rush,3
kleidocerys-resedae,Kleidocerys resedae,15,"",3
larinus-turbinatus,Larinus turbinatus,16,Turbine Cylindrical Weevil,3
laspeyria-flexula,Laspeyria flexula,8,Beautiful Hook-tip,3
lathronympha-strigana,Lathronympha strigana,8,"",3
lilioceris-lilii,Lilioceris lilii,Insecta,Lily Leaf Beetle,3
limoniidae-indet,Limoniidae indet.,18,"",3
lithobius-forficatus,Lithobius forficatus,13,Brown Centipede,3
lobularia-maritima,Lobularia maritima,10,Sweet Alison,3
lupinus-polyphyllus,Lupinus polyphyllus,10,Garden Lupin,3
lycopus-europaeus,Lycopus europaeus,10,Gipsywort,3
lysimachia-nummularia,Lysimachia nummularia,10,Creeping-Jenny,3
macrosiphini,Macrosiphini,Insecta,"",3
malva-alcea,Malva alcea,10,Greater Musk-mallow,3
mellinus-arvensis,Mellinus arvensis,17,Field Digger Wasp,3
metzneria-lappella,Metzneria lappella,8,"",3
mimulus-guttatus,Mimulus guttatus,10,Seep monkeyflower,3
misumena-vatia,Misumena vatia,13,Flower Spider,3
mompha-ochraceella,Mompha ochraceella,8,"",3
monacha-cantiana,Monacha cantiana,7,Kentish Snail,3
muscidae-indet,Muscidae indet.,18,"",3
myotis-daubentonii,Myotis daubentonii,2,Daubenton's Bat,3
nassella-tenuissima,Nassella tenuissima,10,Feather-grass,3
nemophora-degeerella,Nemophora degeerella,Insecta,Yellow-barred Longhorn,3
nomada-zonata,Nomada zonata,17,Variable Nomad Bee,3
ondatra-zibethicus,Ondatra zibethicus,2,Common Muskrat,3
oryctes-nasicornis,Oryctes nasicornis,16,European Rhinoceros Beetle,3
palloptera-muliebris,Palloptera muliebris,18,"",3
papaver-dubium,Papaver dubium,10,Long-headed Poppy,3
parapoynx-stratiotata,Parapoynx stratiotata,8,Ringed China-mark,3
paulownia-tomentosa,Paulownia tomentosa,10,Foxglove-tree,3
pelophylax-spec,Pelophylax spec.,3,Green Frog spec.,3
persicaria-amplexicaulis,Persicaria amplexicaulis,10,Red Bistort,3
phacelia-tanacetifolia,Phacelia tanacetifolia,10,Phacelia,3
philodromus-dispar,Philodromus dispar,13,Eurasian Running Crab Spider,3
phlogophora-meticulosa,Phlogophora meticulosa,8,Angle Shades,3
phycitodes-binaevella,Phycitodes binaevella,8,"",3
phytolacca-acinosa,Phytolacca acinosa,10,Indian Pokeweed,3
piezodorus-lituratus,Piezodorus lituratus,15,Gorse Shieldbug,3
platycheirus-albimanus,Platycheirus albimanus,18,Grey-spotted Sedgesitter,3
plemyria-rubiginata,Plemyria rubiginata,8,Blue-bordered Carpet,3
poecilobothrus-nobilitatus,Poecilobothrus nobilitatus,18,Semaphore Fly,3
populus-tremula,Populus tremula,10,Aspen,3
portulaca-oleracea,Portulaca oleracea,10,Common Purslane,3
potentilla-reptans,Potentilla reptans,10,Creeping Cinquefoil,3
prays-fraxinella,Prays fraxinella,8,Ash Bud Moth,3
pseudeuophrys-lanigera,Pseudeuophrys lanigera,13,House Jumping Spider,3
pterophorus-pentadactyla,Pterophorus pentadactyla,8,White Plume Moth,3
pterygota,Pterygota,Insecta,Winged and Once-winged Insects,3
ptychoptera-contaminata,Ptychoptera contaminata,18,"",3
pyrausta-aurata,Pyrausta aurata,8,Mint Moth,3
pyrochroa-coccinea,Pyrochroa coccinea,Insecta,Black-headed Cardinal Beetle,3
quercus-robur,Quercus robur,10,Pedunculate Oak,3
rhinanthus-serotinus,Rhinanthus serotinus,Plantae,Greater Yellow-rattle,3
ribes-nigrum,Ribes nigrum,10,Black Currant,3
ribes-rubrum,Ribes rubrum,10,Red Currant,3
rubus,Rubus,Plantae,brambles,3
rubus-sect-corylifolii-rubus-sect-rubus,Rubus sect. Corylifolii + Rubus sect. Rubus,10,"",3
rumex-acetosella,Rumex acetosella,10,Sheep's Sorrel,3
sagina-procumbens,Sagina procumbens,10,Procumbent Pearlwort,3
salix-caprea,Salix caprea,10,Goat Willow,3
salvia-pratensis,Salvia pratensis,10,Meadow Clary,3
sarcophaga,Sarcophaga,Insecta,Common Flesh Flies,3
scymnus-interruptus,Scymnus interruptus,16,"",3
silene-chalcedonica,Silene chalcedonica,10,Maltese-Cross,3
smerinthus-ocellatus,Smerinthus ocellatus,8,Eyed Hawk Moth,3
solidago-gigantea,Solidago gigantea,10,Giant goldenrod,3
sphinx-ligustri,Sphinx ligustri,8,Privet Hawk-moth,3
stachys-byzantina,Stachys byzantina,10,Lamb's-ear,3
staphylinidae-indet,Staphylinidae indet.,16,Rove beetles,3
steatoda-grossa,Steatoda grossa,13,False Black Widow,3
stellaria-aquatica,Stellaria aquatica,10,Water Chickweed,3
stellaria-media,Stellaria media,10,Common Chickweed,3
stenarella-domator,Stenarella domator,17,"",3
sympetrum-sanguineum,Sympetrum sanguineum,5,Ruddy Darter,3
synageles-spec,Synageles spec.,13,"",3
telekia-speciosa,Telekia speciosa,10,Yellow Oxeye,3
thaumetopoea-processionea,Thaumetopoea processionea,8,Oak Processionary,3
thymus-pulegioides,Thymus pulegioides,10,Large Thyme,3
tischeria-ekebladella,Tischeria ekebladella,8,Oak carl,3
trachelospermum-jasminoides,Trachelospermum jasminoides,Plantae,Star jasmine,3
trachemys-scripta,Trachemys scripta,Reptilia,Pond Slider,3
trochulus-hispidus,Trochulus hispidus,7,Hairy Snail,3
trombidiidae-indet,Trombidiidae indet.,13,"",3
typha-latifolia,Typha latifolia,10,Bulrush,3
verbascum,Verbascum,Plantae,mulleins,3
verbascum-blattaria,Verbascum blattaria,10,Moth Mullein,3
verbena-rigida,Verbena rigida,10,Slender Vervain,3
veronica-beccabunga,Veronica beccabunga,10,Brooklime Speedwell,3
volucella-pellucens,Volucella pellucens,18,Pied Plumehorn,3
xanthoria-parietina,Xanthoria parietina,12,Common orange lichen,3
xylota-segnis,Xylota segnis,18,Orange-belted Leafwalker,3
abraxas-grossulariata,Abraxas grossulariata,8,Magpie,2
achillea-ptarmica,Achillea ptarmica,10,Sneezewort,2
acrobasis-repandana,Acrobasis repandana,8,"",2
acronicta-leporina,Acronicta leporina,8,Miller,2
adaina-microdactyla,Adaina microdactyla,8,Hemp-agrimony Plume,2
adelphocoris-lineolatus,Adelphocoris lineolatus,15,Lucerne Bug,2
adrastus-pallens,Adrastus pallens,16,"",2
agaricus-augustus,Agaricus augustus,11,"",2
aglais-urticae,Aglais urticae,4,Small Tortoiseshell,2
agrimonia-procera,Agrimonia procera,10,Fragrant Agrimony,2
agromyza-reptans-pseudoreptans,Agromyza reptans/pseudoreptans,18,"",2
agrypnus-murinus,Agrypnus murinus,16,Mottled Dingy-brown Click Beetle,2
ailanthus-altissima,Ailanthus altissima,10,Tree-of-Heaven,2
amaurobius-spec,Amaurobius spec.,13,"",2
amauromyza-verbasci,Amauromyza verbasci,18,"",2
anania-coronata,Anania coronata,8,Spotted Magpie,2
anatis-ocellata,Anatis ocellata,16,Eyed ladybird,2
ancistrocerus-trifasciatus,Ancistrocerus trifasciatus,17,Three-banded Mason Wasp,2
andrena-minutula-gr,Andrena minutula-gr.,17,Andrena minutula-group,2
anelosimus-vittatus,Anelosimus vittatus,13,"",2
anomaloninae-indet,Anomaloninae indet.,17,"",2
anomoia-purmunda,Anomoia purmunda,18,"",2
anthophila-fabriciana,Anthophila fabriciana,8,Nettle-tap,2
anthoxanthum-odoratum,Anthoxanthum odoratum,10,sweet vernal grass,2
anyphaena-accentuata,Anyphaena accentuata,13,Buzzing Spider,2
aphidinae,Aphidinae,Insecta,"",2
apium-graveolens,Apium graveolens,10,Wild Celery,2
araniella,Araniella,Arachnida,Cucumber Spiders,2
araschnia-levana,Araschnia levana,4,Map,2
archarius-crux,Archarius crux,16,"",2
argentina-anserina,Argentina anserina,Plantae,common silverweed,2
